address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
99 Shuniah Street,North West,"Cvh (No. 9) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,Yes,Thunder Bay, P7A2Z2,157.0,39.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,southbridge roseview,,,,,Thunder Bay,3558004.0,35.0,48.45042517,-89.21555166
640 Grace Street,Central,Southlake Residential Care Village,Extendicare (Canada) Inc.,Non-Profit,No,Yes,Yes,Yes,Newmarket, L3Y2L1,224.0,49.0,"(46.0, 172.0]",3.0,18.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,southlake residential care village,0,0,<5,Active,Newmarket,3519048.0,35.0,44.05931585,-79.45092944
835 West Ridge Blvd.,North Simcoe Muskoka,Spencer House Inc.,2063414 Investment Lp,Non-Profit,No,Yes,Yes,Yes,Orillia, L3V8B3,160.0,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,spencer house,,0,,Inactive,Orillia,3543052.0,35.0,44.60314495,-79.45390869
2698 Clifford Line R. R. #5,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Peterborough, K9J6X6,68.0,30.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,springdale country manor,,,,,Cavan Monaghan,3515013.0,35.0,44.23107203,-78.39679912
643 West Gore Street,South West,Spruce Lodge Home For The Aged,,Municipal,Yes,Yes,No,Yes,Stratford, N5A1L4,128.0,44.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,spruce lodge home for the aged,,,,,Stratford,3531011.0,35.0,43.36760056,-81.00083747
96 Kittridge Avenue East,South West,Sprucedale Care Centre Inc.,C.D. Micallef Consulting Services Inc.,For-Profit,No,Yes,Yes,Yes,Strathroy, N7G2A8,96.0,18.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,sprucedale care centre,,0,,Inactive,Strathroy-Caradoc,3539015.0,35.0,42.96355986,-81.62413493
2865 Riverside Drive,Champlain,St. Patrick's Home Of Ottawa Inc.,,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1V8N5,202.0,86.0,"(46.0, 172.0]",3.0,47.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,st. patrick's home,9,0,<5,Active,Ottawa,3506008.0,35.0,45.36947155,-75.68903093
255 St. Andrew's Street,Waterloo Wellington,Steeves & Rozema Enterprises Limited,,For-Profit,No,Yes,Yes,Yes,Cambridge, N1S1P1,128.0,52.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,st. andrew's terrace long term care community,,0,,Inactive,Cambridge,3530010.0,35.0,43.34600049,-80.32871446
2701 St Clair Avenue East,Toronto Central,St. Clair O'connor Community Inc.,,Non-Profit,No,Yes,Yes,Yes,East York, M4B3M3,25.0,9.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,1.0,"(0.0, 5.0]",0.0,st. clair o'connor community nursing home,6,8,<5,Active,Toronto,3520005.0,35.0,43.7056131,-79.31276747
4690 Municipal Road 15,North East,St. Joseph's Health Centre Of Sudbury,,Non-Profit,No,Yes,Yes,Yes,Chelmsford, P0M1L0,128.0,73.0,"(46.0, 172.0]",3.0,50.0,"(23.0, 86.0]",3.0,28.0,"(11.0, 44.0]",3.0,st. gabriel's villa of sudbury,0,0,<5,Active,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.575821000000005,-81.183418
225 St. George Street,Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5R2M2,238.0,45.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,st. george care community,0,0,<5,Active,Toronto,3520005.0,35.0,43.67253289,-79.40161649
915 Notre Dame Street P. O. Box 870,Champlain,412506 Ontario Ltd.,,Non-Profit,No,Yes,Yes,Yes,Embrun, K0A1W0,60.0,50.0,"(46.0, 172.0]",3.0,34.0,"(23.0, 86.0]",3.0,8.0,"(7.0, 11.0]",2.0,st. jacques nursing home,,,,,Russell,3502048.0,35.0,45.27229585,-75.28638399
659 Brealey Drive,Central East,St Joseph's At Fleming,,Non-Profit,No,Yes,Yes,Yes,Peterborough, K9K2R8,200.0,110.0,"(46.0, 172.0]",3.0,47.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,st. joseph's at fleming,<5,0,<5,Active,Peterborough,3515014.0,35.0,44.26877564,-78.36982641
14 York Street,Champlain,"Religious Hospitalers Of St. Joseph Of Cornwall, Ontario",,Non-Profit,No,Yes,Yes,Yes,Cornwall, K6J5T2,150.0,34.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,st. joseph's continuing care centre,0,0,<5,Active,Cornwall,3501012.0,35.0,45.01462532,-74.73145128
100 Westmount Road,Waterloo Wellington,St. Joseph's Health System,,Non-Profit,No,Yes,Yes,Yes,Guelph, N1H5H8,240.0,42.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,3.0,"(0.0, 5.0]",0.0,"st. joseph's health centre, guelph",,,,,,,,,
99 Wayne Gretzky Parkway,Hamilton Niagara Haldimand Brant (Hnhb),St. Joseph's Health System,,Non-Profit,No,Yes,Yes,No,Brantford, N3S6T6,205.0,28.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,13.0,"(11.0, 44.0]",3.0,st. joseph's lifecare centre,,0,,Inactive,Brantford,3529006.0,35.0,43.14553416,-80.23530631
70 Spine Road,North East,St. Joseph's General Hospital Elliot Lake,,Non-Profit,Yes,Yes,Yes,Yes,Elliot Lake, P5A1X2,64.0,39.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,st. joseph's manor,,,,,Elliot Lake,3557041.0,35.0,46.38484207,-82.66092821
574 Northcliffe Avenue,,,,,,,,,Dundas, L9H7L9,,,,,,,,,,,st. joseph's mother house (martha wing),,,,,,,,,
56 Governor's Road,Hamilton Niagara Haldimand Brant (Hnhb),St. Joseph's Health System,,Non-Profit,Yes,Yes,Yes,Yes,Dundas, L9H5G7,378.0,100.0,"(46.0, 172.0]",3.0,37.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,"st. joseph's villa, dundas",,0,,Inactive,,,,,
1250 South Bay Road,North East,St. Joseph's Health Centre Of Sudbury,,Non-Profit,No,Yes,Yes,Yes,Sudbury, P3E6L9,128.0,39.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,"st. joseph's villa, sudbury",,<5,,Inactive,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.46661488,-80.96677167
"1803 County Road, #2 East Postal Bag  #1130",South East,"The Corporations Of The United Counties Of Leeds And Grenville, The City Of Brockville, The Town Of Gananoque And The Town Of Prescott",,Municipal,No,Yes,Yes,No,Brockville, K6V5T1,224.0,53.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,st. lawrence lodge,,,,,Elizabethtown-Kitley,3507014.0,35.0,44.60164641,-75.66542026
125 Redfern Avenue,Hamilton Niagara Haldimand Brant (Hnhb),St. Peter's Care Centres,,Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C7W9,210.0,37.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,st. peter's residence at chedoke,,,,,Hamilton,3525005.0,35.0,43.24048479,-79.92012482
"244 Main Street East 7308 Highway #26, P.O. Box 350",North Simcoe Muskoka,Stayner Care Centre Inc.,,For-Profit,No,Yes,No,No,Stayner, L0M1S0,49.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,stayner care centre,,,,,Clearview,3543005.0,35.0,44.41953308,-80.09109148
200 Stirling Macgregor Drive,Waterloo Wellington,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Cambridge, N1S5B7,110.0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,stirling heights,,0,,Inactive,Cambridge,3530010.0,35.0,43.33915669,-80.33371706
218 Edward Street P.O. Box 220,South East,Manorcare Partners,Eldercare Management & Consulting Corp.,For-Profit,No,Yes,No,Yes,Stirling, K0K3E0,75.0,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,stirling manor nursing home,,,,,Stirling-Rawdon,3512020.0,35.0,44.30226088,-77.54846075
256 High Street,Champlain,Stoneridge Manor Operating Inc.,,For-Profit,No,Yes,Yes,Yes,Carleton Place, K7C1X1,60.0,27.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,stoneridge manor,52,6,<5,Active,Carleton Place,3509028.0,35.0,45.13580539,-76.15419976
465 Dublin Street,Waterloo Wellington,Sharon Farms & Enterprises Limited,,For-Profit,Yes,Yes,Yes,Yes,Mount Forest, N0G2L3,88.0,30.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,strathcona long term care,0,0,<5,Active,,,,,
599 Albert Street Box 5000,South West,The Corporation Of The County Of Middlesex,,Municipal,Yes,Yes,Yes,No,Strathroy, N7G3J3,160.0,42.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,strathmere lodge,,,,,Strathroy-Caradoc,3539015.0,35.0,42.95570205,-81.64392804
19 James Street West,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,No,Yes,Cobourg, K9A2J8,59.0,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,streamway villa,,,,,Cobourg,3514021.0,35.0,43.96205389,-78.16781002
1742 Bristol Road West,Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,No,Yes,Yes,Yes,Mississauga, L5M1X9,118.0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,streetsville care community,,,,,Mississauga,3521005.0,35.0,43.58212646,-79.70532398
1464 Blackwell Road,Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Sarnia, N7S5M4,100.0,60.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,sumac lodge,,0,,Inactive,Sarnia,3538030.0,35.0,43.01031973,-82.34671616
850-4Th Street East,South West,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K6A3,119.0,29.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,summit place,,,,,Owen Sound,3542059.0,35.0,44.55878477,-80.92755656
175 Talbot Street East,Erie St. Clair,The Corporation Of The County Of Essex,,Municipal,No,Yes,Yes,No,Leamington, N8H1L9,206.0,54.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,sun parlor home for senior citizens,<5,<5,<5,Active,Leamington,3537003.0,35.0,42.05585245,-82.58946575
1635 Dundas Street East,Central East,Sunnycrest Nursing Homes Limited,,For-Profit,No,Yes,Yes,Yes,Whitby, L1N2K9,136.0,55.0,"(46.0, 172.0]",3.0,19.0,"(16.0, 23.0]",2.0,4.0,"(0.0, 5.0]",0.0,sunnycrest nursing home,<5,0,0,Active,Whitby,3518009.0,35.0,43.88695065,-78.90906825
247 Franklin Street North,Waterloo Wellington,Regional Municipality Of Waterloo,,Municipal,Yes,Yes,Yes,Yes,Kitchener, N2G4J3,263.0,83.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,sunnyside home,,,,,Kitchener,3530013.0,35.0,43.440994,-80.4451854
49 Raglan Street,North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Yes,Yes,Yes,Yes,Collingwood, L9Y4X1,150.0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,sunset manor home for senior citizens,,,,,Collingwood,3543031.0,35.0,44.50191069,-80.20123672
795 Eglinton Avenue East,Toronto Central,Toronto Finnish-canadian Seniors Centre,,Non-Profit,No,Yes,Yes,No,Toronto, M4G4E4,34.0,14.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,suomi-koti toronto nursing home,,,,,Toronto,3520005.0,35.0,43.7131299,-79.36614148
1001 Peter Robertson Blvd.,Central West,The Regional Municipality Of Peel,,Municipal,No,Yes,Yes,Yes,Brampton, L6R2Y3,160.0,28.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,tall pines long term care centre,<5,0,<5,Active,Brampton,3521010.0,35.0,43.75057309,-79.74244701
145A Government Road East Postal Bag Service 1757,North East,Corporation Of The Town Of Kirkland Lake,,Municipal,No,Yes,Yes,Yes,Kirkland Lake, P2N3P4,81.0,29.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,teck pioneer residence,,,,,Kirkland Lake,3554068.0,35.0,48.15345549,-80.01468335
245 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Paris, N3L3V8,45.0,27.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,telfer place,<5,0,0,Active,Brant,3529005.0,35.0,43.20739846,-80.38649816
100 Bruce Street P.O. Box 1180,North East,Jarlette Ltd.,,For-Profit,Yes,Yes,Yes,Yes,Haileybury, P0J1K0,82.0,21.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,temiskaming lodge,<5,0,<5,Active,Temiskaming Shores,3554020.0,35.0,47.438790000000004,-79.63082324
1020 McNicoll Avenue,Central East,Tendercare Nursing Homes Limited,Extendicare (Canada) Inc.,For-Profit,No,Yes,No,Yes,Scarborough, M1W2J6,254.0,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,tendercare living centre,,<5,,Inactive,Toronto,3520005.0,35.0,43.80577041,-79.33598338
475 Talbot Street East 49462 Talbot Line,South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Yes,Yes,Yes,No,Aylmer, N5H3A5,100.0,33.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,terrace lodge,,,,,Malahide,3534010.0,35.0,42.771096299999996,-80.9682813
"c/o Chapleau General Hospital P. O. Box 757, 6 Broomhead Road",North East,Chapleau Health Services,,Non-Profit,Yes,Yes,No,Yes,Chapleau, P0M1K0,18.0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the bignucolo residence,,,,,Chapleau,3552092.0,35.0,47.841251,-83.414961
170 Metcalfe Street,Waterloo Wellington,The Elliott,,Non-Profit,No,Yes,Yes,Yes,Guelph, N1E4Y3,85.0,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the elliott long term care residence,,,,,Guelph,3523008.0,35.0,43.55803773,-80.25130495
3063 Adelaide Street,South West,Atk Care Inc.,,For-Profit,No,Yes,Yes,Yes,Fordwich, N0G1V0,33.0,18.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the fordwich village nursing home,,,,,Howick,3540046.0,35.0,43.87084494,-81.02944763
117 Banting Drive,Champlain,Deep River And District Hospital,,Non-Profit,No,Yes,No,Yes,Deep River, K0J1P0,14.0,12.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the four seasons lodge,,,,,Deep River,3547096.0,35.0,46.09087579,-77.47500669
275 Ida Street North,Champlain,The Arnprior And District Memorial Hospital,,Non-Profit,Yes,Yes,Yes,Yes,Arnprior, K7S3M7,61.0,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,"the grove, arnprior and district nursing home",,,,,Arnprior,3547002.0,35.0,45.43909913,-76.36088256
20 Ernest Street,Hamilton Niagara Haldimand Brant (Hnhb),Henley House Limited,,For-Profit,No,Yes,Yes,Yes,St. Catharines, L2N7T2,160.0,54.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,the henley house,0,0,0,Active,St. Catharines,3526053.0,35.0,43.18492631,-79.2578661
1195 Queen Street East,Toronto Central,Heritage Nursing Homes Inc.,,For-Profit,Yes,Yes,Yes,Yes,Toronto, M4M1L6,201.0,24.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,the heritage nursing home,,,,,Toronto,3520005.0,35.0,43.66272499,-79.33111227
3560 Bathurst Street,Toronto Central,The Jewish Home For The Aged,,Non-Profit,No,Yes,Yes,Yes,North York, M6A2E1,472.0,48.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,the jewish home for the aged,<5,<5,6,Active,Toronto,3520005.0,35.0,43.7300765,-79.43421181
309 Bridge Street West,South East,County Of Lennox And Addington,,Municipal,Yes,Yes,Yes,Yes,Napanee, K7R2G4,168.0,30.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,the john m. parrott centre,,,,,Greater Napanee,3511015.0,35.0,44.2413403,-76.97028786
25 Brunswick Avenue,Toronto Central,The Kensington Health Centre,,Non-Profit,No,Yes,Yes,Yes,Toronto, M5S2L9,350.0,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,the kensington gardens,14,8,5,Active,Toronto,3520005.0,35.0,43.65819899,-79.40343829
94 William Street South P.O. Box 400,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,Yes,Yes,Tavistock, N0B2R0,43.0,23.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the maples home for seniors,,,,,East Zorra-Tavistock,3532038.0,35.0,43.31755486,-80.83826132
12 Tranquility Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Ancaster, L9G5C2,128.0,20.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the meadows,,,,,,,,,
6623 Kalar Road,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,No,Yes,Yes,Yes,Niagara Falls, L2H2T3,121.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the meadows of dorchester,,,,,Niagara Falls,3526043.0,35.0,43.07925789,-79.13696046
365 West Street,Hamilton Niagara Haldimand Brant (Hnhb),The Norfolk Hospital Nursing Home,,Non-Profit,No,Yes,Yes,Yes,Simcoe, N3Y1T7,80.0,12.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the norfolk hospital nursing home,,,,,Norfolk County,3528052.0,35.0,42.8351656,-80.31432431
33 Christie Street,Toronto Central,848357 Ontario Inc.,Responsive Health Management Inc.,For-Profit,Yes,Yes,No,Yes,Toronto, M6G3B1,162.0,27.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the o'neill centre,<5,0,<5,Active,Toronto,3520005.0,35.0,43.66476219,-79.4186887
92 Centre Street,Champlain,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,Yes,Alexandria, K0C1A0,70.0,37.0,"(31.0, 46.0]",2.0,30.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,the palace,,,,,North Glengarry,3501050.0,35.0,45.31136778,-74.63263588
1750 Russell Road,Champlain,The Perley And Rideau Veterans' Health Centre,,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1G5Z6,450.0,88.0,"(46.0, 172.0]",3.0,49.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,the perley and rideau veterans' health centre,9,8,16,Active,Ottawa,3506008.0,35.0,45.40374035,-75.63671562
98 Pine Street,North Simcoe Muskoka,The District Of The Municipality Of Muskoka,Extendicare (Canada) Inc.,Municipal,No,Yes,No,Yes,Bracebridge, P1L1N5,160.0,13.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the pines,,,,,Bracebridge,3544018.0,35.0,45.05169583,-79.29822038
1156 Wellington Street,Champlain,The Governing Council Of The Salvation Army In Canada,,Non-Profit,No,Yes,Yes,Yes,Ottawa, K1Y2Z3,128.0,63.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,the salvation army ottawa grace manor,,,,,Ottawa,3506008.0,35.0,45.40088385,-75.72755805
689 Yonge Street,North Simcoe Muskoka,Jarlette Ltd.,,For-Profit,Yes,Yes,No,Yes,Midland, L4R2E1,114.0,29.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,12.0,"(11.0, 44.0]",3.0,the villa care centre,,,,,Midland,3543074.0,35.0,44.74305645,-79.89055855
1800 Talbot Road,Erie St. Clair,Schlegel Villages Inc.,,For-Profit,No,No,No,No,Windsor, N9A6S4,256.0,62.0,"(46.0, 172.0]",3.0,59.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,the village at st. clair,0,0,<5,Active,Windsor,3537039.0,35.0,42.24341286,-83.0147829
250 LAURELWOOD DRIVE,Waterloo Wellington,Schlegel Villages Inc.,,For-Profit,No,No,No,No,WATERLOO, N2J0E2,192.0,15.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,the village at university gates,0,0,<5,Active,Waterloo,3530016.0,35.0,43.476737899999996,-80.57032185
166 Pleasant Drive P.O. Box 94,South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Selby, K0K2Z0,66.0,28.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,the village green nursing home,,,,,Greater Napanee,3511015.0,35.0,44.30037081,-76.98430987
9855 McHugh Street,Erie St. Clair,R-b-j Schlegel Holdings Inc.,,For-Profit,No,Yes,Yes,Yes,Windsor, N8P0A6,192.0,92.0,"(46.0, 172.0]",3.0,44.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,the village of aspen lake,,,,,Windsor,3537039.0,35.0,42.31813568,-82.92003167
2930 Erin Centre Boulevard,Mississauga Halton,Schlegel Villages Inc.,,For-Profit,No,Yes,Yes,Yes,Mississauga, L5M7M4,180.0,51.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,16.0,"(11.0, 44.0]",3.0,the village of erin meadows,43,9,21,Active,Mississauga,3521005.0,35.0,43.55312755,-79.72147048
3030 Singleton Avenue,South West,The Homewood Corporation,Oakwood Retirement Communities Inc.,For-Profit,No,No,No,Yes,London, N6L0B6,192.0,108.0,"(46.0, 172.0]",3.0,51.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,the village of glendale crossing,,,,,London,3539036.0,35.0,42.93894787,-81.27180372
2245 Lawrence Avenue West,Central,Oakwood Retirement Communities Inc.,,For-Profit,No,Yes,No,Yes,Etobicoke, M9P3W3,192.0,23.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,the village of humber heights,20,6,9,Active,Toronto,3520005.0,35.0,43.69710409,-79.52690243
60 Woodlawn Road East,Waterloo Wellington,Schlegel Villages Inc.,,For-Profit,No,Yes,Yes,Yes,Guelph, N1H8M8,192.0,109.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,the village of riverside glen,0,0,<5,Active,Guelph,3523008.0,35.0,43.56915803,-80.27358416
425 Great Lakes Drive,Central West,Oakwood Retirement Communities Inc.,,For-Profit,No,Yes,Yes,Yes,Brampton, L6R2W8,120.0,28.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,the village of sandalwood park,,,,,Brampton,3521010.0,35.0,43.74100870000001,-79.7717325
4100 Upper Middle Road,Hamilton Niagara Haldimand Brant (Hnhb),Oakwood Retirement Communities Inc.,,For-Profit,No,Yes,Yes,Yes,Burlington, L7M4W8,144.0,30.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,the village of tansley woods,,,,,Burlington,3524002.0,35.0,43.38367062,-79.79950979
3800 Brock Street North,Central East,Oakwood Retirement Communities Inc.,,For-Profit,No,Yes,Yes,Yes,Whitby, L1R3A5,120.0,35.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,the village of taunton mills,,,,,Whitby,3518009.0,35.0,43.91312705,-78.95825897
1620 Upper Wentworth Street,Hamilton Niagara Haldimand Brant (Hnhb),Oakwood Retirement Communities Inc.,,For-Profit,No,Yes,Yes,Yes,Hamilton, L9B2W3,120.0,26.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,the village of wentworth heights,0,0,<5,Active,Hamilton,3525005.0,35.0,43.19832568,-79.8734372
695 Block Line Road,Waterloo Wellington,Winston Hall Nursing Homes Limited,,For-Profit,No,Yes,No,Yes,Kitchener, N2E3K1,95.0,36.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,the village of winston park,<5,0,0,Active,Kitchener,3530013.0,35.0,43.41122949,-80.49867572
