address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
10 Nadolny Sachs Private,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K2A4G7,47.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,hillel lodge,,,,,Ottawa,3506008.0,45.37622944,-75.75281145,121.0
590 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,Oshawa, L1G5T9,52.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,hillsdale estates,,,,,Oshawa,3518013.0,43.91384855,-78.86330374,300.0
600 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,Oshawa, L1G5T9,57.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,hillsdale terraces,,13,,Inactive,Oshawa,3518013.0,43.91500165,-78.86454214,200.0
R. R. #5,South West,For-Profit,No,Yes,Yes,Yes,Stratford, N5A6S6,29.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,hillside manor,,0,,Inactive,Perth East,3531030.0,43.424534200000004,-81.09831679999999,90.0
1005 St Lawrence Street P.O. Box 430,South East,For-Profit,No,Yes,Yes,No,Merrickville, K0G1N0,41.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,hilltop manor nursing home (merrickville),,,,,Merrickville-Wolford,3507052.0,44.90918586,-75.83453904,60.0
300 Lillie Street,North West,Non-Profit,No,Yes,Yes,Yes,Thunder Bay, P7C4Y7,84.0,"(46.0, 172.0]",3.0,62.0,"(23.0, 86.0]",3.0,33.0,"(11.0, 44.0]",3.0,hogarth riverview manor,0,0,<5,Active,Thunder Bay,3558004.0,48.38712316,-89.27025117,543.0
20 Hope Street South,Central East,For-Profit,Yes,Yes,No,Yes,Port Hope, L1A2M8,41.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,hope street terrace,,,,,Port Hope,3514020.0,43.95459039,-78.28837976,97.0
278 Front Street P.O. Box 190,North East,Non-Profit,No,No,No,Yes,Hornepayne, P0M1Z0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,hornepayne community hospital,,,,,Hornepayne,3557096.0,49.212827000000004,-84.774059,12.0
95 Humber College Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,Rexdale, M9V5B5,34.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,humber valley terrace,46,9,18,Active,Toronto,3520005.0,43.72717599,-79.59650396,158.0
1881 Cabana Road West,Erie St. Clair,Municipal,Yes,Yes,No,Yes,Windsor, N9G1C7,44.0,"(31.0, 46.0]",2.0,26.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,huron lodge long term care home,,,,,Windsor,3537039.0,42.25323436,-83.0236891,224.0
820 Turnberry Street South,South West,Municipal,No,Yes,Yes,No,Brussels, N0G1H0,25.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,huronlea home for the aged,,,,,Morris-Turnberry,3540050.0,43.73846151,-81.25635699,64.0
77722A London Road R.R. #5,South West,Municipal,No,Yes,Yes,No,Clinton, N0M1L0,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,huronview home for the aged,,,,,Huron East,3540040.0,43.598187100000004,-81.53130859999999,120.0
6 McPherson Street P.O. Box 30,Central East,Municipal,Yes,Yes,Yes,Yes,Minden, K0M2K0,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,hyland crest,,,,,Minden Hills,3546015.0,44.92594814,-78.72985369,62.0
449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C2A7,58.0,"(46.0, 172.0]",3.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,idlewyld manor,<5,0,0,Active,Hamilton,3525005.0,43.23618909,-79.91485732,192.0
111 Iler Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Essex, N8M1T6,106.0,"(46.0, 172.0]",3.0,47.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,iler lodge,,,,,Essex,3537016.0,42.17030086,-82.82364113,104.0
40 Bell Estate Road,Central East,Non-Profit,No,No,Yes,Yes,Scarborough, M1L0E2,59.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,ina grafton gage home,43,26,30,Active,Toronto,3520005.0,43.705765,-79.27714255,128.0
10 Brooks Street,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,No,Barrie, L4N7X2,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,ioof seniors home,,0,,Inactive,Barrie,3543042.0,44.3686217,-79.68736455,182.0
1755 Chiefswood Road P.O. Box 309,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,Yes,Ohsweken, N0A1M0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,iroquois lodge nursing home,,,,,Six Nations (Part) 40,3529020.0,43.07299235,-80.11640017,50.0
155 Millwood Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M4S1J6,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,isabel and arthur meighen manor,61,42,45,Active,Toronto,3520005.0,43.70000099,-79.39254279,168.0
767 Royal York Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M8Y2T3,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,ivan franko home (etobicoke),0,0,<5,Active,Toronto,3520005.0,43.63771778,-79.50673762,85.0
97 Mount Pleasant Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Brantford, N3T1T5,25.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,john noble home,,,,,Brantford,3529006.0,43.12596315,-80.27606552,156.0
2675 Concession Road P. O. Bag 2007,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Kemptville, K0G1J0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,kemptville district hospital,,,,,North Grenville,3507065.0,45.0099179,-75.64134820000001,12.0
1400 Kennedy Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P4V6,25.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,kennedy lodge,,,,,Toronto,3520005.0,43.76265941,-79.28056556,289.0
1340 Huron Street,South West,For-Profit,Yes,Yes,Yes,Yes,London, N5V3R3,69.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,3.0,"(0.0, 5.0]",0.0,kensington village,<5,5,<5,Active,London,3539036.0,43.02140839,-81.21450391,78.0
2 Ontario Street,South East,For-Profit,No,Yes,Yes,Yes,Picton, K0K2T0,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,kentwood park,,,,,Prince Edward County,3513020.0,44.00244715,-77.14847409,45.0
83 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Grimsby, L3M1N6,16.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,kilean lodge,,,,,Grimsby,3526065.0,43.19121,-79.5554741,50.0
146 Fog Road,Central,For-Profit,No,Yes,Yes,Yes,King City, L7B1A3,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,king city lodge nursing home,,,,,King,3519049.0,43.97147063,-79.55151987,36.0
49 Sterne Street,Central West,For-Profit,Yes,Yes,Yes,Yes,Bolton, L7E1B9,55.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,king nursing home,,,,,Caledon,3521024.0,43.87933771,-79.74065452,86.0
310 Queen Street East R.R. #6,South West,For-Profit,Yes,Yes,Yes,No,St. Marys, N4X1C8,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,kingsway lodge nursing home,,,,,St. Marys,3531016.0,43.25961363,-81.1354479,63.0
2233 Kipling Avenue,Central West,Municipal,Yes,Yes,Yes,Yes,Etobicoke, M9W4L3,41.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,kipling acres,53,13,11,Active,Toronto,3520005.0,43.72574509,-79.57339555,337.0
50 William Street,South West,Non-Profit,Yes,Yes,Yes,No,Milverton, N0K1M0,14.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,knollcrest lodge,,,,,Perth East,3531030.0,43.5706561,-80.92082216,78.0
11290 Pine Valley Drive,Central,Non-Profit,Yes,Yes,No,No,Woodbridge, L4L1A6,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,kristus darzs latvian home,21,7,17,Active,Vaughan,3519028.0,43.87156441,-79.59579547,100.0
5 Resurrection Road,Mississauga Halton,Non-Profit,No,Yes,Yes,No,Toronto, M9A5G1,19.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,labdara lithuanian nursing home,,0,,Inactive,Toronto,3520005.0,43.64373408,-79.53092513,90.0
17 Government Road P.O. Box 179,North East,Non-Profit,Yes,Yes,Yes,Yes,Wawa, P0S1K0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,lady dunn health centre (wawa),,,,,Wawa,3557076.0,47.999790000000004,-84.77191449,16.0
102 Corkery Street P.O. Box 10,North East,For-Profit,Yes,Yes,Yes,No,Trout Creek, P0H2L0,65.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,,,,lady isabelle nursing home,,,,,,,,,66.0
6 Albert Street,North East,Non-Profit,No,No,No,No,Parry Sound, P2A3A4,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,lakeland long term care (eldcap),,,,,Parry Sound,3549032.0,45.3407019,-80.01766090000001,20.0
6 Albert Street,North East,Non-Profit,No,Yes,No,No,Parry Sound, P2A3A4,23.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,lakeland long term care services,,,,,Parry Sound,3549032.0,45.340765999999995,-80.01767199999999,90.0
3197 Lakeshore Blvd. West,Toronto Central,Municipal,No,Yes,Yes,Yes,Etobicoke, M8V3X5,14.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,lakeshore lodge,41,11,17,Active,Toronto,3520005.0,43.59721667,-79.51845532,150.0
150 Dunn Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6K2R6,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,lakeside long term care centre,,,,,Toronto,3520005.0,43.636584,-79.43316800000001,128.0
133 Main Street P.O. Box 514,Central East,Municipal,Yes,Yes,Yes,Yes,Beaverton, L0K1A0,30.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,lakeview manor,,0,,Inactive,Brock,3518039.0,44.42747763,-79.16356588,149.0
3958 Petrolia Line R. R. #4,Erie St. Clair,Municipal,No,Yes,Yes,No,Petrolia, N0N1R0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,lambton meadowview villa,,0,,Inactive,Enniskillen,3538016.0,42.88448582,-82.16482359,125.0
46 Lanark Crescent,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Kitchener, N2N2Z8,82.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,lanark heights long term care centre,<5,<5,<5,Active,Kitchener,3530013.0,43.42436319,-80.53544803,160.0
"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2",South East,Municipal,Yes,Yes,Yes,Yes,Perth, K7H3C6,37.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,lanark lodge,,,,,Tay Valley,3509015.0,44.90398014,-76.27207578,163.0
105 Military Road North P.O. Box 429,Champlain,For-Profit,No,Yes,Yes,Yes,Lancaster, K0C1N0,38.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,lancaster long term care residence,,,,,,,,,60.0
170 Red Maple Road,Central,For-Profit,No,Yes,Yes,Yes,Richmond Hill, L4B4T8,19.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,langstaff square care community,,,,,Richmond Hill,3519038.0,43.84482422,-79.42478351,160.0
271 Metcalfe Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1E4Y8,50.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,lapointe-fisher nursing home,,,,,Guelph,3523008.0,43.56346913,-80.25748785,92.0
25 Museum Drive,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,Orillia, L3V7T9,38.0,"(31.0, 46.0]",2.0,26.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,leacock care centre,,,,,Orillia,3543052.0,44.60660015,-79.39492597,145.0
35 Pickwick Drive,Erie St. Clair,Non-Profit,No,Yes,Yes,No,Leamington, N8H4T5,20.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,leamington mennonite home long term care residence,0,0,<5,Active,Leamington,3537003.0,42.04374165,-82.59059485,84.0
875 Sixth Street East,South West,Municipal,No,Yes,Yes,No,Owen Sound, N4K5W5,36.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,lee manor home,,,,,Owen Sound,3542059.0,44.56074357,-80.92749966,150.0
8 Richmond Park Drive,,,,,,,Napanee, K7R2Z4,9.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,lennox and addington county general hospital,,,,,Greater Napanee,3511015.0,44.240025,-76.96702900000001,
403 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,St. Catharines, L2N1L5,56.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,linhaven,,,,,St. Catharines,3526053.0,43.18351721,-79.26633031,248.0
330 Beatrice Drive,Champlain,For-Profit,No,Yes,Yes,Yes,Nepean, K2J5A5,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,longfields manor,,,,,Ottawa,3506008.0,45.28026603,-75.72981554,114.0
701 Upper Sherman Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Hamilton, L8V3M7,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,macassa lodge,,0,,Inactive,Hamilton,3525005.0,43.22567639,-79.84867319,270.0
10 Trench Street,Central,Non-Profit,No,Yes,Yes,Yes,Richmond Hill, L4C4Z3,25.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,mackenzie health long term care facility,,,,,Richmond Hill,3519038.0,43.87045412,-79.45081182,168.0
52 George Street,Central,For-Profit,No,Yes,Yes,Yes,Newmarket, L3Y4V3,26.0,"(21.0, 31.0]",1.0,20.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,mackenzie place,66,11,21,Active,Newmarket,3519048.0,44.05748695,-79.47891695,93.0
1541 St. Joseph Boulevard,Champlain,For-Profit,No,Yes,Yes,Yes,Orleans, K1C7L3,109.0,"(46.0, 172.0]",3.0,66.0,"(23.0, 86.0]",3.0,38.0,"(11.0, 44.0]",3.0,madonna care community,52,33,41,Active,Ottawa,3506008.0,45.46043427,-75.559988,160.0
77 Main Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M4E2V6,47.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,main street terrace,<5,0,0,Active,Toronto,3520005.0,43.68160949,-79.29859826,150.0
290 South Street,South West,For-Profit,Yes,Yes,Yes,Yes,Goderich, N7A4G6,35.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,maitland manor,,,,,Goderich,3540028.0,43.73314149,-81.71190013,91.0
7075 Rexwood Road,Central West,Municipal,No,Yes,Yes,Yes,Mississauga, L4T4M1,62.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,14.0,"(11.0, 44.0]",3.0,malton village long term care centre,<5,0,<5,Active,Mississauga,3521005.0,43.71847959,-79.62437147,160.0
70 Robinson Street Postal Bag 460,North East,Municipal,No,Yes,No,No,Little Current, P0P1K0,26.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,manitoulin centennial manor home for the aged,,,,,Northeastern Manitoulin and the Islands,3551017.0,45.98389625,-81.93648973,60.0
3 Main Street P. O. Box 648,North East,For-Profit,Yes,Yes,Yes,Yes,Gore Bay, P0P1H0,27.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,manitoulin lodge,,,,,Gore Bay,3551026.0,45.91388961,-82.46562059,61.0
949 Montreal Road,Champlain,For-Profit,No,Yes,Yes,No,Ottawa, K1K0S6,115.0,"(46.0, 172.0]",3.0,68.0,"(23.0, 86.0]",3.0,22.0,"(11.0, 44.0]",3.0,manoir marochel,29,7,15,Active,Ottawa,3506008.0,45.44785486,-75.62821042,64.0
215 Sunny Meadow Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6R3B5,37.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,maple grove care community,,,,,Brampton,3521010.0,43.75771219,-79.75483001,160.0
73 Bidwell Street,South West,For-Profit,No,Yes,Yes,Yes,Tillsonburg, N4G3T8,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,maple manor nursing home,,,,,Tillsonburg,3532004.0,42.86006238,-80.72991974,106.0
6 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Fort Erie, L2A5M5,26.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,maple park lodge,,,,,Fort Erie,3526003.0,42.91045417,-78.92271967,96.0
1029-4Th Avenue West,South West,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K4W1,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,maple view,,0,,Inactive,Owen Sound,3542059.0,44.56743597,-80.94905687,29.0
"746 County Road, 42 East P.O. Box 100",South East,Municipal,No,Yes,Yes,No,Athens, K0E1B0,33.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,maple view lodge,,,,,Athens,3507042.0,44.63454631,-75.93144305,60.0
441 Maple Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7S1L8,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maple villa long term care centre,,,,,Burlington,3524002.0,43.31995171,-79.80289539,93.0
12 Maplewood Avenue Box 249,South East,For-Profit,No,Yes,Yes,Yes,Brighton, K0K1H0,25.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,maplewood,<5,0,0,Active,Brighton,3514004.0,44.039652600000004,-77.74441359999999,49.0
600 Cecelia Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Pembroke, K8A7Z3,32.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,marianhill nursing home,,,,,Pembroke,3547064.0,45.81487556,-77.10391504,139.0
9915 Yonge Street,Central,Non-Profit,No,Yes,Yes,Yes,Richmond Hill, L4C1V1,13.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,mariann home,,,,,Richmond Hill,3519038.0,43.86921402,-79.43615722,64.0
54 Parkway Avenue,Central,Non-Profit,No,No,Yes,No,Markham, L3P2G4,27.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,markhaven,9,17,16,Active,Markham,3519036.0,43.88371943,-79.25422906,96.0
749 Devine Street,Erie St. Clair,Municipal,No,Yes,Yes,No,Sarnia, N7T1X3,61.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,marshall gowland manor,,,,,Sarnia,3538030.0,42.96399632,-82.38446927,126.0
723 North Street,North East,Non-Profit,Yes,Yes,Yes,No,Sault Ste Marie, P6B6G8,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,mauno kaihla koti,,,,,Sault Ste. Marie,3557061.0,46.5396691,-84.33693736,63.0
80 Mechanic Street West,Champlain,Non-Profit,Yes,Yes,Yes,No,Maxville, K0C1T0,32.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,maxville manor,,,,,North Glengarry,3501050.0,45.28415857,-74.86345425,122.0
28 Halton Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1R3,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maynard nursing home,0,0,0,Active,Toronto,3520005.0,43.64880888,-79.4191815,77.0
140 SHERWAY DRIVE,Mississauga Halton,Non-Profit,No,Yes,No,Yes,ETOBICOKE, M9C1A4,11.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mccall centre long term care interim unit,,0,,Inactive,Toronto,3520005.0,43.61006437,-79.56210244,21.0
2022 Kains Road,South West,Non-Profit,Yes,Yes,Yes,Yes,London, N6K0A8,47.0,"(46.0, 172.0]",3.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,mccormick home,,,,,London,3539036.0,42.96884017,-81.35418445,160.0
355 McGarrell Drive,South West,For-Profit,No,Yes,Yes,Yes,London, N6G0B1,48.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,mcgarrell place,,,,,London,3539036.0,43.02383798,-81.29614393,157.0
1210 Southdale Road East,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6E1B4,88.0,"(46.0, 172.0]",3.0,48.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,meadow park (london),<5,<5,8,Active,London,3539036.0,42.94667847,-81.20205190000001,126.0
110 Sandys Street,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7L4X3,19.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,meadow park nursing home (chatham),,,,,Chatham-Kent,3536020.0,42.40705193,-82.19885326,99.0
135 William Street,South West,For-Profit,Yes,Yes,Yes,Yes,Meaford, N4L1T4,36.0,"(31.0, 46.0]",2.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,meaford long term care - a peoplecare community,,,,,Meaford,3542047.0,44.61169379,-80.60054596,77.0
1 Tabor Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,No,St Catharines, L2N1V9,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mennonite brethren senior citizens home,,,,,St. Catharines,3526053.0,43.1888487,-79.2335379,82.0
2094 Gideon Drive R.R. #1,South West,For-Profit,No,Yes,Yes,Yes,Delaware, N0L1E0,43.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,middlesex terrace,,,,,Middlesex Centre,3539033.0,42.92353736,-81.42514196,105.0
130 Midland Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1N4B2,80.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,33.0,"(11.0, 44.0]",3.0,midland gardens care community,21,<5,8,Active,Toronto,3520005.0,43.708358600000004,-79.24749635,299.0
286 Hurst Drive,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N0Z3,35.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mill creek care centre,,,,,Barrie,3543042.0,44.368993100000004,-79.65609964,160.0
6861 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Niagara Falls, L2E6S5,50.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,millennium trail manor,,,,,Niagara Falls,3526043.0,43.076347,-79.11734305,160.0
725 Pembroke Street West,Champlain,Municipal,Yes,Yes,Yes,Yes,Pembroke, K8A8S6,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,miramichi lodge,,0,,Inactive,Pembroke,3547064.0,45.82684776,-77.13017355,166.0
26 Peter Street North,Mississauga Halton,For-Profit,No,Yes,No,Yes,Mississauga, L5H2G7,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,mississauga long term care facility,,,,,Mississauga,3521005.0,43.54970386,-79.59094324,55.0
