,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
295,5 Resurrection Road,Mississauga Halton,Non-Profit,No,Yes,Yes,No,Toronto, M9A5G1,19,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,labdara lithuanian nursing home,,0,,Inactive,Toronto,3520005,90,43.64,-79.53
296,17 Government Road P.O. Box 179,North East,Non-Profit,Yes,Yes,Yes,Yes,Wawa, P0S1K0,15,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,lady dunn health centre (wawa),,,,,Wawa,3557076,16,48.00,-84.77
297,574 Northcliffe Avenue,,,,,,,Dundas, L9H7L9,,,,,,,,,,st. joseph's mother house (martha wing),,,,,,,,,
298,6 Albert Street,North East,Non-Profit,No,No,No,No,Parry Sound, P2A3A4,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,lakeland long term care (eldcap),,,,,Parry Sound,3549032,20,45.34,-80.02
299,6 Albert Street,North East,Non-Profit,No,Yes,No,No,Parry Sound, P2A3A4,23,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,lakeland long term care services,,,,,Parry Sound,3549032,90,45.34,-80.02
300,3197 Lakeshore Blvd. West,Toronto Central,Municipal,No,Yes,Yes,Yes,Etobicoke, M8V3X5,14,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,lakeshore lodge,41,11,17,Active,Toronto,3520005,150,43.60,-79.52
301,150 Dunn Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6K2R6,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,lakeside long term care centre,,,,,Toronto,3520005,128,43.64,-79.43
302,133 Main Street P.O. Box 514,Central East,Municipal,Yes,Yes,Yes,Yes,Beaverton, L0K1A0,30,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,lakeview manor,,0,,Inactive,Brock,3518039,149,44.43,-79.16
303,3958 Petrolia Line R. R. #4,Erie St. Clair,Municipal,No,Yes,Yes,No,Petrolia, N0N1R0,33,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,lambton meadowview villa,,0,,Inactive,Enniskillen,3538016,125,42.88,-82.16
304,46 Lanark Crescent,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Kitchener, N2N2Z8,82,"(46.0, 172.0]",3,20,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,lanark heights long term care centre,<5,<5,<5,Active,Kitchener,3530013,160,43.42,-80.54
305,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2",South East,Municipal,Yes,Yes,Yes,Yes,Perth, K7H3C6,37,"(31.0, 46.0]",2,27,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,lanark lodge,,,,,Tay Valley,3509015,163,44.90,-76.27
306,56 Governor's Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,Yes,Dundas, L9H5G7,100,"(46.0, 172.0]",3,37,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,"st. joseph's villa, dundas",,0,,Inactive,,,425,43.26,-79.96
307,170 Red Maple Road,Central,For-Profit,No,Yes,Yes,Yes,Richmond Hill, L4B4T8,19,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,langstaff square care community,,,,,Richmond Hill,3519038,160,43.84,-79.42
308,271 Metcalfe Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1E4Y8,50,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,lapointe-fisher nursing home,,,,,Guelph,3523008,92,43.56,-80.26
309,25 Museum Drive,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,Orillia, L3V7T9,38,"(31.0, 46.0]",2,26,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,leacock care centre,,,,,Orillia,3543052,145,44.61,-79.39
310,35 Pickwick Drive,Erie St. Clair,Non-Profit,No,Yes,Yes,No,Leamington, N8H4T5,20,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,leamington mennonite home long term care residence,0,0,<5,Active,Leamington,3537003,84,42.04,-82.59
311,875 Sixth Street East,South West,Municipal,No,Yes,Yes,No,Owen Sound, N4K5W5,36,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,lee manor home,,,,,Owen Sound,3542059,150,44.56,-80.93
312,8 Richmond Park Drive,,,,,,,Napanee, K7R2Z4,9,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,lennox and addington county general hospital,,,,,Greater Napanee,3511015,,44.24,-76.97
313,403 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,St. Catharines, L2N1L5,56,"(46.0, 172.0]",3,21,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,linhaven,,,,,St. Catharines,3526053,248,43.18,-79.27
314,330 Beatrice Drive,Champlain,For-Profit,No,Yes,Yes,Yes,Nepean, K2J5A5,34,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,longfields manor,,,,,Ottawa,3506008,114,45.28,-75.73
315,701 Upper Sherman Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Hamilton, L8V3M7,31,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,macassa lodge,,0,,Inactive,Hamilton,3525005,270,43.23,-79.85
316,10 Trench Street,Central,Non-Profit,No,Yes,Yes,Yes,Richmond Hill, L4C4Z3,25,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,mackenzie health long term care facility,,,,,Richmond Hill,3519038,168,43.87,-79.45
317,52 George Street,Central,For-Profit,No,Yes,Yes,Yes,Newmarket, L3Y4V3,26,"(21.0, 31.0]",1,20,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,mackenzie place,66,11,21,Active,Newmarket,3519048,93,44.06,-79.48
318,1541 St. Joseph Boulevard,Champlain,For-Profit,No,Yes,Yes,Yes,Orleans, K1C7L3,109,"(46.0, 172.0]",3,66,"(23.0, 86.0]",3,38,"(11.0, 44.0]",3,madonna care community,52,33,41,Active,Ottawa,3506008,160,45.46,-75.56
319,77 Main Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M4E2V6,47,"(46.0, 172.0]",3,23,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,main street terrace,<5,0,0,Active,Toronto,3520005,150,43.68,-79.30
320,290 South Street,South West,For-Profit,Yes,Yes,Yes,Yes,Goderich, N7A4G6,35,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,maitland manor,,,,,Goderich,3540028,91,43.73,-81.71
321,7075 Rexwood Road,Central West,Municipal,No,Yes,Yes,Yes,Mississauga, L4T4M1,62,"(46.0, 172.0]",3,21,"(16.0, 23.0]",2,14,"(11.0, 44.0]",3,malton village long term care centre,<5,0,<5,Active,Mississauga,3521005,160,43.72,-79.62
322,70 Robinson Street Postal Bag 460,North East,Municipal,No,Yes,No,No,Little Current, P0P1K0,26,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,manitoulin centennial manor home for the aged,,,,,Northeastern Manitoulin and the Islands,3551017,60,45.98,-81.94
323,3 Main Street P. O. Box 648,North East,For-Profit,Yes,Yes,Yes,Yes,Gore Bay, P0P1H0,27,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,manitoulin lodge,,,,,Gore Bay,3551026,61,45.91,-82.47
324,949 Montreal Road,Champlain,For-Profit,No,Yes,Yes,No,Ottawa, K1K0S6,115,"(46.0, 172.0]",3,68,"(23.0, 86.0]",3,22,"(11.0, 44.0]",3,manoir marochel,29,7,15,Active,Ottawa,3506008,64,45.45,-75.63
325,215 Sunny Meadow Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6R3B5,37,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,maple grove care community,,,,,Brampton,3521010,160,43.76,-79.75
326,73 Bidwell Street,South West,For-Profit,No,Yes,Yes,Yes,Tillsonburg, N4G3T8,28,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,maple manor nursing home,,,,,Tillsonburg,3532004,106,42.86,-80.73
327,6 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Fort Erie, L2A5M5,26,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,maple park lodge,,,,,Fort Erie,3526003,96,42.91,-78.92
328,1029-4Th Avenue West,South West,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K4W1,19,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,maple view,,0,,Inactive,Owen Sound,3542059,29,44.57,-80.95
329,"746 County Road, 42 East P.O. Box 100",South East,Municipal,No,Yes,Yes,No,Athens, K0E1B0,33,"(31.0, 46.0]",2,14,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,maple view lodge,,,,,Athens,3507042,60,44.63,-75.93
330,441 Maple Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7S1L8,17,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,maple villa long term care centre,,,,,Burlington,3524002,93,43.32,-79.80
331,12 Maplewood Avenue Box 249,South East,For-Profit,No,Yes,Yes,Yes,Brighton, K0K1H0,25,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,maplewood,<5,0,0,Active,Brighton,3514004,49,44.04,-77.74
332,600 Cecelia Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Pembroke, K8A7Z3,32,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,marianhill nursing home,,,,,Pembroke,3547064,139,45.81,-77.10
333,9915 Yonge Street,Central,Non-Profit,No,Yes,Yes,Yes,Richmond Hill, L4C1V1,13,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,mariann home,,,,,Richmond Hill,3519038,64,43.87,-79.44
334,54 Parkway Avenue,Central,Non-Profit,No,No,Yes,No,Markham, L3P2G4,27,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,markhaven,9,17,16,Active,Markham,3519036,96,43.88,-79.25
335,749 Devine Street,Erie St. Clair,Municipal,No,Yes,Yes,No,Sarnia, N7T1X3,61,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,marshall gowland manor,,,,,Sarnia,3538030,126,42.96,-82.38
336,723 North Street,North East,Non-Profit,Yes,Yes,Yes,No,Sault Ste Marie, P6B6G8,20,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,3,"(0.0, 5.0]",0,mauno kaihla koti,,,,,Sault Ste. Marie,3557061,63,46.54,-84.34
337,80 Mechanic Street West,Champlain,Non-Profit,Yes,Yes,Yes,No,Maxville, K0C1T0,32,"(31.0, 46.0]",2,10,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,maxville manor,,,,,North Glengarry,3501050,122,45.28,-74.86
338,28 Halton Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1R3,21,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,maynard nursing home,0,0,0,Active,Toronto,3520005,77,43.65,-79.42
339,140 SHERWAY DRIVE,Mississauga Halton,Non-Profit,No,Yes,No,Yes,ETOBICOKE, M9C1A4,11,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,mccall centre long term care interim unit,,0,,Inactive,Toronto,3520005,21,43.61,-79.56
340,2022 Kains Road,South West,Non-Profit,Yes,Yes,Yes,Yes,London, N6K0A8,47,"(46.0, 172.0]",3,18,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,mccormick home,,,,,London,3539036,160,42.97,-81.35
341,355 McGarrell Drive,South West,For-Profit,No,Yes,Yes,Yes,London, N6G0B1,48,"(46.0, 172.0]",3,22,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,mcgarrell place,,,,,London,3539036,157,43.02,-81.30
342,1210 Southdale Road East,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6E1B4,88,"(46.0, 172.0]",3,48,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,meadow park (london),<5,<5,8,Active,London,3539036,126,42.95,-81.20
343,110 Sandys Street,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7L4X3,19,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,meadow park nursing home (chatham),,,,,Chatham-Kent,3536020,99,42.41,-82.20
344,135 William Street,South West,For-Profit,Yes,Yes,Yes,Yes,Meaford, N4L1T4,36,"(31.0, 46.0]",2,9,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,meaford long term care - a peoplecare community,,,,,Meaford,3542047,77,44.61,-80.60
345,1 Tabor Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,No,St Catharines, L2N1V9,28,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,mennonite brethren senior citizens home,,,,,St. Catharines,3526053,82,43.19,-79.23
346,2094 Gideon Drive R.R. #1,South West,For-Profit,No,Yes,Yes,Yes,Delaware, N0L1E0,43,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,middlesex terrace,,,,,Middlesex Centre,3539033,105,42.92,-81.43
347,130 Midland Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1N4B2,80,"(46.0, 172.0]",3,56,"(23.0, 86.0]",3,33,"(11.0, 44.0]",3,midland gardens care community,21,<5,8,Active,Toronto,3520005,299,43.71,-79.25
348,286 Hurst Drive,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N0Z3,35,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,mill creek care centre,,,,,Barrie,3543042,160,44.37,-79.66
349,6861 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Niagara Falls, L2E6S5,50,"(46.0, 172.0]",3,23,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,millennium trail manor,,,,,Niagara Falls,3526043,160,43.08,-79.12
350,725 Pembroke Street West,Champlain,Municipal,Yes,Yes,Yes,Yes,Pembroke, K8A8S6,30,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,miramichi lodge,,0,,Inactive,Pembroke,3547064,166,45.83,-77.13
351,26 Peter Street North,Mississauga Halton,For-Profit,No,Yes,No,Yes,Mississauga, L5H2G7,14,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,mississauga long term care facility,,,,,Mississauga,3521005,55,43.55,-79.59
352,"184 Napier Street, S.S. #1",South West,Non-Profit,No,Yes,Yes,No,Mitchell, N0K1N0,34,"(31.0, 46.0]",2,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,mitchell nursing home,,,,,West Perth,3531025,48,43.47,-81.20
353,415 River Street West P.O. Box 200,South East,For-Profit,No,Yes,Yes,Yes,Tweed, K0K3J0,37,"(31.0, 46.0]",2,27,"(23.0, 86.0]",3,7,"(5.0, 7.0]",1,moira place long-term care home,,0,,Inactive,Tweed,3512030,128,44.47,-77.32
354,36 D'Arcy Street,Toronto Central,Non-Profit,Yes,Yes,No,No,Toronto, M5T1J7,13,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,mon sheong home for the aged,23,32,16,Active,Toronto,3520005,105,43.66,-79.39
355,11199 Yonge Street,Central,Non-Profit,Yes,Yes,Yes,No,Richmond Hill, L4S1L2,11,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,mon sheong richmond hill long term care centre,,,,,Richmond Hill,3519038,192,43.90,-79.44
356,2030 Mcnicoll Avenue,Central East,Non-Profit,Yes,Yes,Yes,No,Scarborough, M1V5P4,18,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,mon sheong scarborough long term care centre,,,,,Toronto,3520005,160,43.81,-79.30
357,705 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,Ottawa, K1K0M9,87,"(46.0, 172.0]",3,51,"(23.0, 86.0]",3,24,"(11.0, 44.0]",3,montfort,63,27,18,Active,Ottawa,3506008,128,45.45,-75.64
358,7363 Calfass Road R. R. #2,Waterloo Wellington,For-Profit,No,Yes,No,No,Puslinch, N0B2J0,20,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,morriston park nursing home,,,,,Puslinch,3523001,28,43.44,-80.13
359,21 Grosvenor Street P.O. Box 5777,South West,Non-Profit,Yes,Yes,Yes,Yes,London, N6A1Y6,87,"(46.0, 172.0]",3,44,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,mount hope centre for long term care,,0,,Inactive,London,3539036,394,43.00,-81.26
360,4486 Guelph Line,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Burlington, L7P0N2,19,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,mount nemo christian nursing home,,,,,Burlington,3524002,61,43.40,-79.88
361,65 Rogers Cove Drive,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,Huntsville, P1H2L9,32,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,muskoka landing,,,,,Huntsville,3544042,94,45.34,-79.20
362,200 Kelly Drive,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Gravenhurst, P1P1P3,43,"(31.0, 46.0]",2,29,"(23.0, 86.0]",3,18,"(11.0, 44.0]",3,muskoka shores care community,,,,,Gravenhurst,3544002,183,44.91,-79.37
363,155 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,Yes,St. Catharines, L2R5K3,30,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,"niagara health system, welland hospital site, extended care unit",,,,,Welland,3526032,115,42.98,-79.25
364,413 Linwell Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,St Catharines, L2M7Y2,30,"(21.0, 31.0]",1,21,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,niagara ina grafton gage village,,,,,St. Catharines,3526053,40,43.20,-79.23
365,100 Westmount Road,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Guelph, N1H5H8,42,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,3,"(0.0, 5.0]",0,"st. joseph's health centre, guelph",,,,,,,240,"43.550165, ",-80.27
366,125 Hogan Road P O Box 37,North West,Non-Profit,No,Yes,No,Yes,Nipigon, P0T2J0,13,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,nipigon district memorial hospital,,,,,Nipigon,3558044,15,49.02,-88.28
367,1202 Highway 94,North East,For-Profit,No,Yes,Yes,Yes,Corbeil, P0H1K0,20,"(0.0, 21.0]",0,15,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,nipissing manor nursing care center,,,,,East Ferris,3548034,120,46.25,-79.34
368,740 Pape Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M4K3S7,13,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,nisbet lodge,,,,,Toronto,3520005,103,43.68,-79.35
369,200 Boullee Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,No,New Hamburg, N3A2K4,46,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,nithview home,,,,,Wilmot,3530020,99,43.38,-80.70
370,22 Norfinch Drive,Central,For-Profit,No,Yes,Yes,Yes,North York, M3N1X1,17,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,norfinch care community,,,,,Toronto,3520005,160,43.76,-79.53
371,2 Kimberly Drive,North East,Non-Profit,No,Yes,Yes,No,Kapuskasing, P5N1L5,17,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,north centennial manor,,,,,Kapuskasing,3556066,78,49.42,-82.43
372,39 Morris Street R.R. #6,Erie St. Clair,Municipal,No,Yes,Yes,No,Forest, N0N1J0,27,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,north lambton lodge,,,,,Lambton Shores,3538040,88,43.09,-81.99
373,450 Rustic Road,Central,For-Profit,No,Yes,Yes,Yes,North York, M6L1W9,25,"(21.0, 31.0]",1,7,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,north park nursing home,0,0,<5,Active,Toronto,3520005,75,43.72,-79.48
374,24 Louise Street P.O. Box 520,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Harriston, N0G1Z0,28,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,caressant care harriston,,,,,,,92,43.91,-80.88
375,105 Military Road North P.O. Box 429,Champlain,For-Profit,No,Yes,Yes,Yes,Lancaster, K0C1N0,38,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,lancaster long term care residence,,,,,,,60,45.15,-74.50
376,428 Front Road West,Champlain,For-Profit,No,Yes,Yes,Yes,L'Orignal, K0B1K0,30,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,champlain long term care residence,,,,,,,60,45.63,-74.67
377,2 Fielden Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,No,Yes,Port Colborne, L3K6G4,31,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,northland pointe,,,,,Port Colborne,3526011,151,42.88,-79.26
378,496 Postridge Drive,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Oakville, L6H7A2,35,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,northridge,,0,,Inactive,Oakville,3524001,133,43.49,-79.71
379,77 River Road P.O. Box 1139,North East,For-Profit,Yes,Yes,No,Yes,Englehart, P0J1H0,22,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,northview nursing home,<5,0,0,Active,Englehart,3554052,48,47.82,-79.87
380,51 Highway 105 P.O. Box 420,North West,Municipal,No,Yes,Yes,No,Red Lake, P0V2M0,19,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,northwood lodge,,,,,Red Lake,3560042,32,51.01,-93.82
381,44 Rob Blake Way,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,Simcoe, N3Y0E3,24,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,norview lodge,,0,,Inactive,Norfolk County,3528052,179,42.84,-80.33
382,122 Tyndall Avenue,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6K2E2,15,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,norwood nursing home,<5,0,<5,Active,Toronto,3520005,60,43.64,-79.43
383,291 Mississaga Street West,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Orillia, L3V3B9,31,"(21.0, 31.0]",1,8,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,oak terrace,,,,,Orillia,3543052,94,44.60,-79.43
384,6747 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes,Niagara Falls, L2E6S5,51,"(46.0, 172.0]",3,29,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,oakwood park lodge,,,,,Niagara Falls,3526043,153,43.08,-79.12
385,"2229 Elm Avenue, R.R. #2",South West,Non-Profit,No,Yes,Yes,No,Southwold, N0L2G0,39,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,oneida nation of the thames long-term care home (tsi' nu: yoyantle' na' tuhuwatisni),,,,,Oneida 41,3539021,64,42.82,-81.41
386,199 Glover Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8E5J2,19,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,orchard terrace care centre,,,,,Hamilton,3525005,45,43.21,-79.68
387,1955 Valley Farm Road,Central East,For-Profit,No,Yes,Yes,Yes,Pickering, L1V3R6,67,"(46.0, 172.0]",3,36,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,orchard villa,74,69,<5,Active,Pickering,3518001,233,43.85,-79.08
388,130 Owen Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Barrie, L4M3H7,17,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,owen hill care community,14,6,10,Active,Barrie,3543042,57,44.40,-79.69
389,439 Second Street East,Champlain,For-Profit,No,Yes,No,Yes,Cornwall, K6H1Z2,31,"(21.0, 31.0]",1,20,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,parisien manor,,,,,Cornwall,3501012,65,45.02,-74.72
390,295 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Paris, N3L2N9,45,"(31.0, 46.0]",2,35,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,park lane terrace,,,,,Brant,3529005,132,43.21,-80.39
391,123 Weldon Road,Central,Non-Profit,No,Yes,Yes,Yes,Stouffville, L4A0G8,17,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,parkview home long-term care,,,,,Whitchurch-Stouffville,3519044,128,43.97,-79.26
392,98-3rd Street South East P.O. Box 298,South West,For-Profit,No,Yes,Yes,Yes,Chesley, N0G1L0,17,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,parkview manor health care centre,<5,0,0,Active,Arran-Elderslie,3541043,34,44.30,-81.09
393,545 King Street West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L8P1C1,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,parkview nursing centre,,,,,Hamilton,3525005,126,43.26,-79.88
394,726 New Hampshire Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Waterloo, N2K4M1,22,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,parkwood mennonite home,,,,,Waterloo,3530016,96,43.52,-80.50
