home_name,Placements for referrals from all prior locations (days),Placements for referrals from community (days),Placements for referrals from hospital (days),Antipsychotic Medication Use (%),Pressure Ulcers (%),Falls (%),Physical Restraints Use (%),Depression (%),Pain (%),cleaned_home_name,matched,name1,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
Schlegel Villages - The Village of Tansley Woods,135,140,LV,6.1,3.6,18.3,3.7,38.3,1.6,schlegel villages - the village of tansley woods,True,the village of tansley woods,4100 Upper Middle Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7M4W8,30.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,the village of tansley woods,,,,,Burlington,3524002.0,43.38367062,-79.79950979,144.0
Schlegel Villages - The Village of Taunton Mills,503.5,514.5,LV,15.4,3.8,17.3,1.1,38.6,6.9,schlegel villages - the village of taunton mills,True,the village of taunton mills,3800 Brock Street North,Central East,For-Profit,No,Yes,Yes,Yes,Whitby, L1R3A5,35.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,the village of taunton mills,,,,,Whitby,3518009.0,43.91312705,-78.95825897,120.0
Schlegel Villages - The Village of Wentworth Heights,81.5,77,105,21.7,3.8,28.5,0.0,30.1,3.5,schlegel villages - the village of wentworth heights,True,the village of wentworth heights,1620 Upper Wentworth Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L9B2W3,26.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,the village of wentworth heights,0,0,<5,Active,Hamilton,3525005.0,43.19832568,-79.8734372,120.0
Schlegel Villages - The Village of Winston Park,166.5,166.5,NR,0.7,1.4,13.4,2.6,19.8,0.4,schlegel villages - the village of winston park,True,the village of winston park,695 Block Line Road,Waterloo Wellington,For-Profit,No,Yes,No,Yes,Kitchener, N2E3K1,36.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,the village of winston park,<5,0,0,Active,Kitchener,3530013.0,43.41122949,-80.49867572,95.0
Shanti Enterprises Ltd - Royal Terrace,77,113,LV,26.5,2.2,10.8,14.1,40.0,2.9,shanti enterprises ltd - royal terrace,True,royal terrace,600 White's Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Palmerston, N0G2P0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,royal terrace,,0,,Inactive,Minto,3523043.0,43.83992155,-80.84393637,67.0
Shaparrall Ltd - Garden Court Nursing Home,214,214,NR,31.5,3.8,8.4,2.1,8.2,25.3,shaparrall ltd - garden court nursing home,True,garden court nursing home,1 Sand Beach Road,Toronto Central,For-Profit,No,Yes,Yes,No,Etobicoke, M8V2W2,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,garden court nursing home,,,,,Toronto,3520005.0,43.60195707,-79.49680752,45.0
Sharon Farms & Enterprises Ltd - Earls Court Village,57,68,35.5,21.1,3.5,16.3,5.5,26.7,3.3,sharon farms & enterprises ltd - earls court village,True,earls court village,"1390 Highbury Avenue, North",South West,For-Profit,No,Yes,Yes,Yes,London, N5Y0B6,90.0,"(46.0, 172.0]",3.0,83.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,earls court village,9,<5,8,Active,London,3539036.0,43.02686099,-81.21868721,128.0
Sharon Farms & Enterprises Ltd - Kensington Village,212,212,NR,8.4,5.4,18.9,4.7,24.8,4.1,sharon farms & enterprises ltd - kensington village,True,kensington village,1340 Huron Street,South West,For-Profit,Yes,Yes,Yes,Yes,London, N5V3R3,69.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,3.0,"(0.0, 5.0]",0.0,kensington village,<5,5,<5,Active,London,3539036.0,43.02140839,-81.21450391,78.0
Shepherd Village Inc. - Shepherd Lodge,240,249,LV,10.6,2.5,14.5,1.0,12.4,1.1,shepherd village inc. - shepherd lodge,True,shepherd lodge,3760 Sheppard Avenue East,Central East,Non-Profit,No,Yes,Yes,Yes,Toronto, M1T3K9,48.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,15.0,"(11.0, 44.0]",3.0,shepherd lodge,,0,,Inactive,Toronto,3520005.0,43.78271331,-79.29413397,252.0
Sienna Senior Living - Altamont Care Community,107,126,40,10.8,2.5,14.0,0.0,29.2,2.1,sienna senior living - altamont care community,True,altamont care community,92 Island Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1C2P5,33.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,altamont care community,72,46,60,Active,Toronto,3520005.0,43.79854962,-79.14005432,159.0
Sienna Senior Living - Barnswallow Place Care Community,280,280,NR,8.7,2.4,16.8,3.5,20.8,1.6,sienna senior living - barnswallow place care community,True,barnswallow place care community,120 Barnswallow Drive,Waterloo Wellington,For-Profit,No,Yes,No,Yes,Elmira, N3B2Y9,17.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,barnswallow place care community,,,,,Woolwich,3530035.0,43.59297082,-80.57796106,96.0
Sienna Senior Living - Bloomington Cove,371,330,LV,10.5,2.3,20.3,0.3,22.6,1.4,sienna senior living - bloomington cove,False,bloomington cove care community,13621 Ninth  Line RR #2,Central,For-Profit,Yes,Yes,Yes,Yes,Stouffville, L4A7X3,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,bloomington cove care community,,,,,Whitchurch-Stouffville,3519044.0,44.00278365,-79.26290138,112.0
Sienna Senior Living - Bradford Valley Care Community,213,212,LV,8.4,1.4,10.8,0.6,20.8,1.3,sienna senior living - bradford valley care community,True,bradford valley care community,2656 6th Line,Central,For-Profit,No,Yes,Yes,Yes,Bradford, L3Z3H5,40.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,bradford valley care community,<5,11,0,Active,Bradford West Gwillimbury,3543014.0,44.09967975,-79.57244678,246.0
Sienna Senior Living - Camilla Care Community,104,90,156,26.3,1.7,7.2,0.6,14.9,0.2,sienna senior living - camilla care community,True,camilla care community,2250 Hurontario Street,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,Mississauga, L5B1M8,52.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,camilla care community,152,48,44,Active,Mississauga,3521005.0,43.57311436,-79.60700205,236.0
Sienna Senior Living - Case Manor Care Community,301,301,LV,21.3,1.3,12.9,0.2,12.8,2.1,sienna senior living - case manor care community,True,case manor care community,28 Boyd Street P.O. Box 670,Central East,For-Profit,No,Yes,Yes,Yes,Bobcaygeon, K0M1A0,24.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,case manor care community,,0,,Inactive,Kawartha Lakes,3516010.0,44.54008478,-78.54103519,96.0
Sienna Senior Living - Cedarvale Lodge Retirement And Care Community,340,373,LV,24.7,4.9,21.1,0.3,20.5,9.3,sienna senior living - cedarvale lodge retirement and care community,True,cedarvale lodge retirement and care community,121 Morton Avenue,Central,For-Profit,No,Yes,Yes,Yes,Keswick, L4P2M5,19.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,cedarvale lodge retirement and care community,,,,,Georgina,3519070.0,44.232338,-79.456847,60.0
Sienna Senior Living - Cheltenham Care Community,177.5,118.5,251.5,15.1,4.0,8.7,0.0,14.5,2.3,sienna senior living - cheltenham care community,True,cheltenham care community,5935 Bathurst Street,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M2R1Y8,30.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,cheltenham care community,,,,,Toronto,3520005.0,43.7818402,-79.44446061,170.0
Sienna Senior Living - Creedan Valley Care Community,112,111,111,14.0,1.4,20.2,0.7,28.1,3.7,sienna senior living - creedan valley care community,True,creedan valley care community,143 Mary Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Creemore, L0M1G0,26.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,creedan valley care community,,,,,Clearview,3543005.0,44.32664057,-80.09982767,95.0
Sienna Senior Living - Deerwood Creek Care Community,85.5,87,80,3.4,1.1,11.2,0.0,6.8,2.5,sienna senior living - deerwood creek care community,True,deerwood creek care community,70 Humberline Drive,Central West,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9W7H3,33.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,deerwood creek care community,,,,,Toronto,3520005.0,43.73160489,-79.61744587,160.0
Sienna Senior Living - Fieldstone Commons Care Community,131,144,41,20.6,2.4,16.9,1.1,14.4,0.9,sienna senior living - fieldstone commons care community,True,fieldstone commons care community,1000 Ellesmere Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P5G2,43.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,fieldstone commons care community,,,,,Toronto,3520005.0,43.76728591,-79.27793126,224.0
Sienna Senior Living - Fountain View Care Community,286,282,LV,19.2,2.6,21.6,0.0,24.2,3.4,sienna senior living - fountain view care community,True,fountain view care community,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,East York, M4A1W7,43.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fountain view care community,0,0,<5,Active,Toronto,3520005.0,43.7205599,-79.30496586,158.0
Sienna Senior Living - Fox Ridge Care Community,132.5,140,128,10.2,1.9,16.4,7.6,25.6,3.5,sienna senior living - fox ridge care community,True,fox ridge care community,389 West Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Brantford, N3R3V9,64.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,fox ridge care community,,,,,Brantford,3529006.0,43.15692506,-80.25558282,122.0
Sienna Senior Living - Granite Ridge Care Community,482.5,471,LV,20.0,1.9,22.7,1.8,20.6,1.8,sienna senior living - granite ridge care community,True,granite ridge care community,5501 Abbott Street East,Champlain,For-Profit,No,Yes,Yes,Yes,Stittsville, K2S2C5,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,granite ridge care community,,,,,Ottawa,3506008.0,45.26988372,-75.90499269,224.0
Sienna Senior Living - Harmony Hills Care Community,215.5,235,LV,13.4,1.6,16.4,0.0,16.7,0.8,sienna senior living - harmony hills care community,True,harmony hills care community,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M4A1W7,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,harmony hills care community,,,,,Toronto,3520005.0,43.7205599,-79.30496586,160.0
Sienna Senior Living - Hawthorn Woods Care Community,105.5,105.5,LV,8.9,1.4,13.4,0.0,19.6,1.3,sienna senior living - hawthorn woods care community,True,hawthorn woods care community,9257 Goreway Drive,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6P0N5,58.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,hawthorn woods care community,,,,,Brampton,3521010.0,43.75755779,-79.68888879,160.0
Sienna Senior Living - Langstaff Square Care Community,324,295,LV,20.7,1.6,12.9,1.7,17.0,1.8,sienna senior living - langstaff square care community,True,langstaff square care community,170 Red Maple Road,Central,For-Profit,No,Yes,Yes,Yes,Richmond Hill, L4B4T8,19.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,langstaff square care community,,,,,Richmond Hill,3519038.0,43.84482422,-79.42478351,160.0
Sienna Senior Living - Madonna Care Community,640,614.5,LV,28.3,2.8,18.9,2.6,24.8,2.5,sienna senior living - madonna care community,True,madonna care community,1541 St. Joseph Boulevard,Champlain,For-Profit,No,Yes,Yes,Yes,Orleans, K1C7L3,109.0,"(46.0, 172.0]",3.0,66.0,"(23.0, 86.0]",3.0,38.0,"(11.0, 44.0]",3.0,madonna care community,52,33,41,Active,Ottawa,3506008.0,45.46043427,-75.559988,160.0
Sienna Senior Living - Maple Grove Care Community,85.5,104,LV,30.6,2.1,15.6,0.5,14.7,1.8,sienna senior living - maple grove care community,True,maple grove care community,215 Sunny Meadow Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6R3B5,37.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,maple grove care community,,,,,Brampton,3521010.0,43.75771219,-79.75483001,160.0
Sienna Senior Living - Midland Gardens Care Community,146.5,182.5,52,27.3,4.0,21.1,1.8,11.1,2.1,sienna senior living - midland gardens care community,True,midland gardens care community,130 Midland Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1N4B2,80.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,33.0,"(11.0, 44.0]",3.0,midland gardens care community,21,<5,8,Active,Toronto,3520005.0,43.708358600000004,-79.24749635,299.0
Sienna Senior Living - Muskoka Shores Care Community,268,245.5,168.5,3.0,0.7,20.2,4.4,29.4,5.8,sienna senior living - muskoka shores care community,True,muskoka shores care community,200 Kelly Drive,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Gravenhurst, P1P1P3,43.0,"(31.0, 46.0]",2.0,29.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,muskoka shores care community,,,,,Gravenhurst,3544002.0,44.9143044,-79.36729389,183.0
Sienna Senior Living - Norfinch Care Community,132,150,LV,20.8,1.4,13.7,0.0,9.8,3.2,sienna senior living - norfinch care community,True,norfinch care community,22 Norfinch Drive,Central,For-Profit,No,Yes,Yes,Yes,North York, M3N1X1,17.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,norfinch care community,,,,,Toronto,3520005.0,43.756787599999996,-79.52618684,160.0
Sienna Senior Living - Owen Hill Care Community,123,118,LV,22.3,2.4,26.6,0.0,20.8,2.0,sienna senior living - owen hill care community,True,owen hill care community,130 Owen Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Barrie, L4M3H7,17.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,owen hill care community,14,6,10,Active,Barrie,3543042.0,44.3951391,-79.69019855,57.0
Sienna Senior Living - Rockcliffe Care Community,112,130,76,17.2,4.4,14.7,2.0,12.0,1.2,sienna senior living - rockcliffe care community,True,rockcliffe care community,3015 Lawrence Avenue East,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P2V7,35.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,rockcliffe care community,0,0,<5,Active,Toronto,3520005.0,43.75467751,-79.24789355,204.0
Sienna Senior Living - Secord Trails Care Community,69,109.5,74.5,25.5,5.9,29.9,3.4,27.6,3.7,sienna senior living - secord trails care community,True,secord trails care community,263 Wonham Street South,South West,For-Profit,Yes,Yes,Yes,Yes,Ingersoll, N5C3P6,58.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,secord trails care community,,,,,Ingersoll,3532018.0,43.03265541,-80.88305150000001,80.0
Sienna Senior Living - Silverthorn Care Community,100,137,38,7.7,1.3,9.4,0.0,7.6,1.2,sienna senior living - silverthorn care community,True,silverthorn care community,4350 Mississauga Road,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5M7C8,25.0,"(21.0, 31.0]",1.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,silverthorn care community,0,0,<5,Active,Mississauga,3521005.0,43.56232545,-79.68858187,160.0
Sienna Senior Living - Spencer House Inc.,167,169,LV,5.9,2.1,21.5,0.0,19.3,2.0,sienna senior living - spencer house inc.,False,spencer house,835 West Ridge Blvd.,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,Yes,Orillia, L3V8B3,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,spencer house,,0,,Inactive,Orillia,3543052.0,44.60314495,-79.45390869,160.0
Sienna Senior Living - St. George Care Community,83,83,LV,13.5,2.8,12.8,0.0,10.2,2.1,sienna senior living - st. george care community,True,st. george care community,225 St. George Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5R2M2,45.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,st. george care community,0,0,<5,Active,Toronto,3520005.0,43.67253289,-79.40161649,238.0
Sienna Senior Living - Streetsville Care Community,183,184,LV,10.0,1.3,9.0,0.0,4.8,1.6,sienna senior living - streetsville care community,True,streetsville care community,1742 Bristol Road West,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5M1X9,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,streetsville care community,,,,,Mississauga,3521005.0,43.58212646,-79.70532398,118.0
Sienna Senior Living - Trillium Retirement And Care Community,146.5,164.5,123,19.1,3.3,23.1,1.0,20.0,5.9,sienna senior living - trillium retirement and care community,True,trillium retirement and care community,800 Edgar Street,South East,For-Profit,Yes,Yes,Yes,Yes,Kingston, K7M8S4,81.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,trillium retirement and care community,,,,,Kingston,3510010.0,44.25040282,-76.55202522,190.0
Sienna Senior Living - Tullamore Care Community,42,42,41.5,24.8,3.4,24.1,0.0,11.7,6.7,sienna senior living - tullamore care community,True,tullamore care community,133 Kennedy Road South,Central West,For-Profit,Yes,Yes,Yes,Yes,Brampton, L6W3G3,52.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,tullamore care community,,,,,Brampton,3521010.0,43.68480267,-79.73603059999999,159.0
Sienna Senior Living - Villa Leonardo Gambin,211,205,NR,14.5,1.2,4.9,0.4,18.6,1.6,sienna senior living - villa leonardo gambin,True,villa leonardo gambin,40 Friuli Court,Central,Non-Profit,Yes,Yes,Yes,Yes,Woodbridge, L4L9T3,34.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,villa leonardo gambin,31,11,23,Active,Vaughan,3519028.0,43.7661994,-79.57417395,168.0
Sienna Senior Living - Waters Edge Care Community,146.5,146.5,187,11.2,2.7,16.7,0.0,10.7,2.4,sienna senior living - waters edge care community,True,waters edge care community,401 William Street,North East,For-Profit,No,Yes,Yes,Yes,North Bay, P1A1X5,41.0,"(31.0, 46.0]",2.0,28.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,waters edge care community,,,,,North Bay,3548044.0,46.27873103,-79.44783366,148.0
Sienna Senior Living - Weston Terrace Care Community,111,147,LV,22.8,2.7,13.3,0.5,11.9,2.0,sienna senior living - weston terrace care community,True,weston terrace care community,2005 Lawrence Avenue West,Central,For-Profit,No,Yes,Yes,Yes,Toronto, M9N3V4,34.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,weston terrace care community,42,13,29,Active,Toronto,3520005.0,43.70123959,-79.51015143,224.0
Sienna Senior Living - Woodbridge Vista Care Community,167,175,LV,8.0,0.8,11.4,0.0,11.7,0.1,sienna senior living - woodbridge vista care community,True,woodbridge vista care community,5400 Steeles Avenue West,Central West,For-Profit,No,Yes,Yes,Yes,Woodbridge, L4L9S1,53.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,woodbridge vista care community,<5,0,<5,Active,Vaughan,3519028.0,43.75961009,-79.59777826,224.0
Sienna Senior Living - Woodhall Park Care Community,123,112,LV,21.0,1.5,14.1,3.1,15.9,0.8,sienna senior living - woodhall park care community,True,woodhall park care community,10260 Kennedy Road North,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6Z4N7,38.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,woodhall park care community,,,,,Brampton,3521010.0,43.72036028,-79.78370712,147.0
Sienna Senior Living - Woods Park Care Centre,169.5,155,LV,21.3,2.4,17.3,2.6,13.5,1.5,sienna senior living - woods park care centre,True,woods park care centre,110 Lillian Crescent,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,Barrie, L4N5H7,31.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,woods park care centre,,0,,Inactive,Barrie,3543042.0,44.4026669,-79.71672256,123.0
"Sifton Properties Ltd, Devonshire Erin Mills Inc. - Lanark Heights LTC Centre",209,217,LV,9.0,1.1,13.9,0.0,7.5,1.1,"sifton properties ltd, devonshire erin mills inc. - lanark heights long term care centre",True,lanark heights long term care centre,46 Lanark Crescent,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Kitchener, N2N2Z8,82.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,lanark heights long term care centre,<5,<5,<5,Active,Kitchener,3530013.0,43.42436319,-80.53544803,160.0
"Sifton Properties Ltd, Devonshire Erin Mills Inc. - Westmount Gardens LTC Home",171,169,LV,3.2,3.2,14.1,3.2,13.3,2.1,"sifton properties ltd, devonshire erin mills inc. - westmount gardens long term care home",True,westmount gardens long term care home,590 Longworth Road,South West,For-Profit,No,Yes,Yes,Yes,London, N6K4X9,86.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,westmount gardens long term care home,,,,,London,3539036.0,42.95042607,-81.30566973,160.0
Six Nations Of The Grand River - Iroquois Lodge Nursing Home,NR,NR,NR,28.4,3.3,17.6,3.1,32.9,20.7,six nations of the grand river - iroquois lodge nursing home,True,iroquois lodge nursing home,1755 Chiefswood Road P.O. Box 309,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,Yes,Ohsweken, N0A1M0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,iroquois lodge nursing home,,,,,Six Nations (Part) 40,3529020.0,43.07299235,-80.11640017,50.0
Slovenian Linden Foundation - Dom Lipa,230,263.5,LV,24.1,1.3,12.0,0.0,10.6,5.4,slovenian linden foundation - dom lipa,True,dom lipa,52 Neilson Drive,Mississauga Halton,Non-Profit,No,Yes,No,No,Etobicoke, M9C1V7,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,dom lipa,,0,,Inactive,Toronto,3520005.0,43.62949697,-79.56513824,66.0
Southbridge Care Homes - Maple View,71,LV,LV,26.4,3.2,22.4,0.0,25.7,2.0,southbridge care homes - maple view,False,maple view,1029-4Th Avenue West,South West,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K4W1,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,maple view,,0,,Inactive,Owen Sound,3542059.0,44.56743597,-80.94905687,29.0
Specialty Care Inc. - Victoria Village Manor,138,135.5,LV,8.3,0.3,20.0,0.0,7.7,0.0,specialty care inc. - victoria village manor,True,victoria village manor,78 Ross Street,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N1G3,35.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,19.0,"(11.0, 44.0]",3.0,victoria village manor,,,,,Barrie,3543042.0,44.391121999999996,-79.69850695,128.0
Spruce Lodge - Municipal Home For The Aged - Spruce Lodge Home For The Aged,349,329,LV,17.6,3.5,20.3,0.4,31.8,2.1,spruce lodge - municipal home for the aged - spruce lodge home for the aged,False,spruce lodge home for the aged,643 West Gore Street,South West,Municipal,Yes,Yes,No,Yes,Stratford, N5A1L4,44.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,spruce lodge home for the aged,,,,,Stratford,3531011.0,43.36760056,-81.00083747,128.0
Sprucedale Care Centre Inc. - Sprucedale Care Centre,98,107,LV,1.8,1.6,12.0,4.0,44.0,13.7,sprucedale care centre inc. - sprucedale care centre,True,sprucedale care centre,96 Kittridge Avenue East,South West,For-Profit,No,Yes,Yes,Yes,Strathroy, N7G2A8,18.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,sprucedale care centre,,0,,Inactive,Strathroy-Caradoc,3539015.0,42.96355986,-81.62413493,96.0
St. Clair O'Connor Community Inc. - St. Clair O'connor Community Nursing Home,151,151,LV,3.9,1.7,11.6,6.2,15.6,29.7,st. clair o'connor community inc. - st. clair o'connor community nursing home,True,st. clair o'connor community nursing home,2701 St Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,East York, M4B3M3,9.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,1.0,"(0.0, 5.0]",0.0,st. clair o'connor community nursing home,6,8,<5,Active,Toronto,3520005.0,43.7056131,-79.31276747,25.0
St. Demetrius Development - Ukrainian Canadian Care Centre,255,234,LV,25.3,2.0,13.3,4.1,18.3,0.2,st. demetrius development - ukrainian canadian care centre,True,ukrainian canadian care centre,60 Richview Road,Central,Non-Profit,No,Yes,Yes,Yes,Etobicoke, M9A5E4,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,ukrainian canadian care centre,25,<5,<5,Active,Toronto,3520005.0,43.68434358,-79.51869943,152.0
St. Joseph's Care Group - Bethammi Nursing Home,224,256,LV,13.4,3.7,15.1,12.6,19.4,9.0,st. joseph's care group - bethammi nursing home,True,bethammi nursing home,63 Carrie Street,North West,Non-Profit,No,Yes,Yes,Yes,Thunder Bay, P7A4J2,35.0,"(31.0, 46.0]",2.0,29.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,bethammi nursing home,,,,,Thunder Bay,3558004.0,48.44135877,-89.24131667,110.0
