index,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
512,ST. PETER'S RESIDENCE AT CHEDOKE,125 Redfern Avenue,"Hamilton, L9C7W9",Hamilton Niagara Haldimand Brant (Hnhb),St. Peter's Care Centres,,Non-Profit,Home with approximately 210 beds,No,Yes,Yes,Yes,,Hamilton, L9C7W9,210.0,37.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,st. peter's residence at chedoke,,,,,,,,
513,STAYNER CARE CENTRE,"244 Main Street East 7308 Highway #26, P.O. Box 350","Stayner, L0M1S0",North Simcoe Muskoka,Stayner Care Centre Inc.,,For-Profit,Home with approximately 49 beds,No,Yes,No,No,,Stayner, L0M1S0,49.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,stayner care centre,,,,,,,,
514,STIRLING HEIGHTS,200 Stirling Macgregor Drive,"Cambridge, N1S5B7",Waterloo Wellington,Axr Operating (National) Lp,,For-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,,Cambridge, N1S5B7,110.0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,stirling heights,52.0,Stirling Heights,Cambridge,110.0,,0,,Inactive
515,STIRLING MANOR NURSING HOME,218 Edward Street P.O. Box 220,"Stirling, K0K3E0",South East,Manorcare Partners,Eldercare Management & Consulting Corp.,For-Profit,Home with approximately 75 beds,No,Yes,No,Yes,,Stirling, K0K3E0,75.0,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,stirling manor nursing home,,,,,,,,
516,STONERIDGE MANOR,256 High Street,"Carleton Place, K7C1X1",Champlain,Stoneridge Manor Operating Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Carleton Place, K7C1X1,60.0,27.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,stoneridge manor,141.0,Stoneridge Manor,Carleton Place,60.0,52,6,<5,Active
517,STRATHCONA LONG TERM CARE,465 Dublin Street,"Mount Forest, N0G2L3",Waterloo Wellington,Sharon Farms & Enterprises Limited,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,,Mount Forest, N0G2L3,88.0,30.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,strathcona long term care,142.0,Strathcona Long Term Care,Mount Forest,87.0,0,0,<5,Active
518,STRATHMERE LODGE,599 Albert Street Box 5000,"Strathroy, N7G3J3",South West,The Corporation Of The County Of Middlesex,,Municipal,Home with approximately 160 beds,Yes,Yes,Yes,No,,Strathroy, N7G3J3,160.0,42.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,strathmere lodge,,,,,,,,
519,STREAMWAY VILLA,19 James Street West,"Cobourg, K9A2J8",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 59 beds,No,Yes,No,Yes,,Cobourg, K9A2J8,59.0,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,streamway villa,,,,,,,,
520,STREETSVILLE CARE COMMUNITY,1742 Bristol Road West,"Mississauga, L5M1X9",Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 118 beds,No,Yes,Yes,Yes,,Mississauga, L5M1X9,118.0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,streetsville care community,,,,,,,,
521,SUMAC LODGE,1464 Blackwell Road,"Sarnia, N7S5M4",Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,,Sarnia, N7S5M4,100.0,60.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,sumac lodge,53.0,Sumac Lodge,Sarnia,100.0,,0,,Inactive
522,SUMMIT PLACE,850-4Th Street East,"Owen Sound, N4K6A3",South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 119 beds,No,Yes,Yes,Yes,,Owen Sound, N4K6A3,119.0,29.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,summit place,,,,,,,,
523,SUN PARLOR HOME FOR SENIOR CITIZENS,175 Talbot Street East,"Leamington, N8H1L9",Erie St. Clair,The Corporation Of The County Of Essex,,Municipal,Home with approximately 206 beds,No,Yes,Yes,No,,Leamington, N8H1L9,206.0,54.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,sun parlor home for senior citizens,143.0,Sun Parlor Home for Senior Citizens,Leamington,206.0,<5,<5,<5,Active
524,SUNNYCREST NURSING HOME,1635 Dundas Street East,"Whitby, L1N2K9",Central East,Sunnycrest Nursing Homes Limited,,For-Profit,Home with approximately 136 beds,No,Yes,Yes,Yes,,Whitby, L1N2K9,136.0,55.0,"(46.0, 172.0]",3.0,19.0,"(16.0, 23.0]",2.0,4.0,"(0.0, 5.0]",0.0,sunnycrest nursing home,144.0,Sunnycrest Nursing Home,Whitby,136.0,<5,0,0,Active
525,SUNNYSIDE HOME,247 Franklin Street North,"Kitchener, N2G4J3",Waterloo Wellington,Regional Municipality Of Waterloo,,Municipal,Home with approximately 263 beds,Yes,Yes,Yes,Yes,,Kitchener, N2G4J3,263.0,83.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,sunnyside home,,,,,,,,
526,SUNSET MANOR HOME FOR SENIOR CITIZENS,49 Raglan Street,"Collingwood, L9Y4X1",North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 150 beds,Yes,Yes,Yes,Yes,,Collingwood, L9Y4X1,150.0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,sunset manor home for senior citizens,,,,,,,,
527,SUOMI-KOTI TORONTO NURSING HOME,795 Eglinton Avenue East,"Toronto, M4G4E4",Toronto Central,Toronto Finnish-canadian Seniors Centre,,Non-Profit,Home with approximately 34 beds,No,Yes,Yes,No,,Toronto, M4G4E4,34.0,14.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,suomi-koti toronto nursing home,,,,,,,,
528,TALL PINES LONG TERM CARE CENTRE,1001 Peter Robertson Blvd.,"Brampton, L6R2Y3",Central West,The Regional Municipality Of Peel,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,,Brampton, L6R2Y3,160.0,28.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,tall pines long term care centre,145.0,Tall Pines Long Term Care Centre,Brampton,160.0,<5,0,<5,Active
529,TECK PIONEER RESIDENCE,145A Government Road East Postal Bag Service 1757,"Kirkland Lake, P2N3P4",North East,Corporation Of The Town Of Kirkland Lake,,Municipal,Home with approximately 81 beds,No,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,81.0,29.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,teck pioneer residence,,,,,,,,
530,TELFER PLACE,245 Grand River Street North,"Paris, N3L3V8",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,,Paris, N3L3V8,45.0,27.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,telfer place,146.0,Telfer Place,Paris,45.0,<5,0,0,Active
531,TEMISKAMING LODGE,100 Bruce Street P.O. Box 1180,"Haileybury, P0J1K0",North East,Jarlette Ltd.,,For-Profit,Home with approximately 82 beds,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,82.0,21.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,temiskaming lodge,147.0,Temiskaming Lodge,Haileybury,83.0,<5,0,<5,Active
532,TENDERCARE LIVING CENTRE,1020 McNicoll Avenue,"Scarborough, M1W2J6",Central East,Tendercare Nursing Homes Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 254 beds,No,Yes,No,Yes,,Scarborough, M1W2J6,254.0,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,tendercare living centre,54.0,Tendercare Living Centre,Scarborough,254.0,,<5,,Inactive
533,TERRACE LODGE,475 Talbot Street East 49462 Talbot Line,"Aylmer, N5H3A5",South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 100 beds,Yes,Yes,Yes,No,,Aylmer, N5H3A5,100.0,33.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,terrace lodge,,,,,,,,
534,THE BIGNUCOLO RESIDENCE,"c/o Chapleau General Hospital P. O. Box 757, 6 Broomhead Road","Chapleau, P0M1K0",North East,Chapleau Health Services,,Non-Profit,Home with approximately 18 beds,Yes,Yes,No,Yes,,Chapleau, P0M1K0,18.0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the bignucolo residence,,,,,,,,
535,THE ELLIOTT LONG TERM CARE RESIDENCE,170 Metcalfe Street,"Guelph, N1E4Y3",Waterloo Wellington,The Elliott,,Non-Profit,Home with approximately 85 beds,No,Yes,Yes,Yes,,Guelph, N1E4Y3,85.0,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the elliott long term care residence,,,,,,,,
536,THE FORDWICH VILLAGE NURSING HOME,3063 Adelaide Street,"Fordwich, N0G1V0",South West,Atk Care Inc.,,For-Profit,Home with approximately 33 beds,No,Yes,Yes,Yes,,Fordwich, N0G1V0,33.0,18.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the fordwich village nursing home,,,,,,,,
537,THE FOUR SEASONS LODGE,117 Banting Drive,"Deep River, K0J1P0",Champlain,Deep River And District Hospital,,Non-Profit,Home with approximately 14 beds,No,Yes,No,Yes,,Deep River, K0J1P0,14.0,12.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the four seasons lodge,,,,,,,,
538,"THE GROVE, ARNPRIOR AND DISTRICT NURSING HOME",275 Ida Street North,"Arnprior, K7S3M7",Champlain,The Arnprior And District Memorial Hospital,,Non-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Arnprior, K7S3M7,61.0,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,"the grove, arnprior and district nursing home",,,,,,,,
539,THE HENLEY HOUSE,20 Ernest Street,"St. Catharines, L2N7T2",Hamilton Niagara Haldimand Brant (Hnhb),Henley House Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,St. Catharines, L2N7T2,160.0,54.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,the henley house,148.0,The Henley House,St. Catharines,160.0,0,0,0,Active
540,THE HERITAGE NURSING HOME,1195 Queen Street East,"Toronto, M4M1L6",Toronto Central,Heritage Nursing Homes Inc.,,For-Profit,Home with approximately 201 beds,Yes,Yes,Yes,Yes,,Toronto, M4M1L6,201.0,24.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,the heritage nursing home,,,,,,,,
541,THE JEWISH HOME FOR THE AGED,3560 Bathurst Street,"North York, M6A2E1",Toronto Central,The Jewish Home For The Aged,,Non-Profit,Home with approximately 472 beds,No,Yes,Yes,Yes,,North York, M6A2E1,472.0,48.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,the jewish home for the aged,149.0,The Jewish Home for the Aged,North York,472.0,<5,<5,6,Active
542,THE JOHN M. PARROTT CENTRE,309 Bridge Street West,"Napanee, K7R2G4",South East,County Of Lennox And Addington,,Municipal,Home with approximately 168 beds,Yes,Yes,Yes,Yes,,Napanee, K7R2G4,168.0,30.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,the john m. parrott centre,,,,,,,,
543,THE KENSINGTON GARDENS,25 Brunswick Avenue,"Toronto, M5S2L9",Toronto Central,The Kensington Health Centre,,Non-Profit,Home with approximately 350 beds,No,Yes,Yes,Yes,,Toronto, M5S2L9,350.0,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,the kensington gardens,150.0,The Kensington Gardens,Toronto,350.0,14,8,5,Active
544,THE MAPLES HOME FOR SENIORS,94 William Street South P.O. Box 400,"Tavistock, N0B2R0",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,,Tavistock, N0B2R0,43.0,23.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the maples home for seniors,,,,,,,,
545,THE MEADOWS,12 Tranquility Avenue,"Ancaster, L9G5C2",Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Ancaster, L9G5C2,128.0,20.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the meadows,,,,,,,,
546,THE MEADOWS OF DORCHESTER,6623 Kalar Road,"Niagara Falls, L2H2T3",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 121 beds,No,Yes,Yes,Yes,,Niagara Falls, L2H2T3,121.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the meadows of dorchester,,,,,,,,
547,THE NORFOLK HOSPITAL NURSING HOME,365 West Street,"Simcoe, N3Y1T7",Hamilton Niagara Haldimand Brant (Hnhb),The Norfolk Hospital Nursing Home,,Non-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Simcoe, N3Y1T7,80.0,12.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the norfolk hospital nursing home,,,,,,,,
548,THE O'NEILL CENTRE,33 Christie Street,"Toronto, M6G3B1",Toronto Central,848357 Ontario Inc.,Responsive Health Management Inc.,For-Profit,Home with approximately 162 beds,Yes,Yes,No,Yes,,Toronto, M6G3B1,162.0,27.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the o'neill centre,151.0,The O'Neill Centre,Toronto,162.0,<5,0,<5,Active
549,THE PALACE,92 Centre Street,"Alexandria, K0C1A0",Champlain,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,,Alexandria, K0C1A0,70.0,37.0,"(31.0, 46.0]",2.0,30.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,the palace,,,,,,,,
550,THE PERLEY AND RIDEAU VETERANS' HEALTH CENTRE,1750 Russell Road,"Ottawa, K1G5Z6",Champlain,The Perley And Rideau Veterans' Health Centre,,Non-Profit,Home with approximately 450 beds,Yes,Yes,Yes,Yes,,Ottawa, K1G5Z6,450.0,88.0,"(46.0, 172.0]",3.0,49.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,the perley and rideau veterans' health centre,152.0,The Perley and Rideau Veterans' Health Centre,Ottawa,450.0,9,8,16,Active
551,THE PINES,98 Pine Street,"Bracebridge, P1L1N5",North Simcoe Muskoka,The District Of The Municipality Of Muskoka,Extendicare (Canada) Inc.,Municipal,Home with approximately 160 beds,No,Yes,No,Yes,,Bracebridge, P1L1N5,160.0,13.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the pines,,,,,,,,
552,THE SALVATION ARMY OTTAWA GRACE MANOR,1156 Wellington Street,"Ottawa, K1Y2Z3",Champlain,The Governing Council Of The Salvation Army In Canada,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Ottawa, K1Y2Z3,128.0,63.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,the salvation army ottawa grace manor,,,,,,,,
553,THE VILLA CARE CENTRE,689 Yonge Street,"Midland, L4R2E1",North Simcoe Muskoka,Jarlette Ltd.,,For-Profit,Home with approximately 114 beds,Yes,Yes,No,Yes,,Midland, L4R2E1,114.0,29.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,12.0,"(11.0, 44.0]",3.0,the villa care centre,,,,,,,,
554,THE VILLAGE AT ST. CLAIR,1800 Talbot Road,"Windsor, N9A6S4",Erie St. Clair,Schlegel Villages Inc.,,For-Profit,Home with approximately 256 beds,No,No,No,No,,Windsor, N9A6S4,256.0,62.0,"(46.0, 172.0]",3.0,59.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,the village at st. clair,153.0,The Village at St. Clair,Windsor,256.0,0,0,<5,Active
555,THE VILLAGE AT UNIVERSITY GATES,250 LAURELWOOD DRIVE,"WATERLOO, N2J0E2",Waterloo Wellington,Schlegel Villages Inc.,,For-Profit,Home with approximately 192 beds,No,No,No,No,,WATERLOO, N2J0E2,192.0,15.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,the village at university gates,154.0,The Village at University Gates,Waterloo,192.0,0,0,<5,Active
556,THE VILLAGE GREEN NURSING HOME,166 Pleasant Drive P.O. Box 94,"Selby, K0K2Z0",South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,,Selby, K0K2Z0,66.0,28.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,the village green nursing home,,,,,,,,
557,THE VILLAGE OF ASPEN LAKE,9855 McHugh Street,"Windsor, N8P0A6",Erie St. Clair,R-b-j Schlegel Holdings Inc.,,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Windsor, N8P0A6,192.0,92.0,"(46.0, 172.0]",3.0,44.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,the village of aspen lake,,,,,,,,
558,THE VILLAGE OF ERIN MEADOWS,2930 Erin Centre Boulevard,"Mississauga, L5M7M4",Mississauga Halton,Schlegel Villages Inc.,,For-Profit,Home with approximately 180 beds,No,Yes,Yes,Yes,,Mississauga, L5M7M4,180.0,51.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,16.0,"(11.0, 44.0]",3.0,the village of erin meadows,155.0,The Village of Erin Meadows,Mississauga,180.0,43,9,21,Active
559,THE VILLAGE OF GLENDALE CROSSING,3030 Singleton Avenue,"London, N6L0B6",South West,The Homewood Corporation,Oakwood Retirement Communities Inc.,For-Profit,Home with approximately 192 beds,No,No,No,Yes,,London, N6L0B6,192.0,108.0,"(46.0, 172.0]",3.0,51.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,the village of glendale crossing,,,,,,,,
560,THE VILLAGE OF HUMBER HEIGHTS,2245 Lawrence Avenue West,"Etobicoke, M9P3W3",Central,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 192 beds,No,Yes,No,Yes,,Etobicoke, M9P3W3,192.0,23.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,the village of humber heights,156.0,The Village of Humber Heights,Etobicoke,192.0,20,6,9,Active
561,THE VILLAGE OF RIVERSIDE GLEN,60 Woodlawn Road East,"Guelph, N1H8M8",Waterloo Wellington,Schlegel Villages Inc.,,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Guelph, N1H8M8,192.0,109.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,the village of riverside glen,157.0,The Village of Riverside Glen,Guelph,192.0,0,0,<5,Active
562,THE VILLAGE OF SANDALWOOD PARK,425 Great Lakes Drive,"Brampton, L6R2W8",Central West,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6R2W8,120.0,28.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,the village of sandalwood park,,,,,,,,
563,THE VILLAGE OF TANSLEY WOODS,4100 Upper Middle Road,"Burlington, L7M4W8",Hamilton Niagara Haldimand Brant (Hnhb),Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7M4W8,144.0,30.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,the village of tansley woods,,,,,,,,
564,THE VILLAGE OF TAUNTON MILLS,3800 Brock Street North,"Whitby, L1R3A5",Central East,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Whitby, L1R3A5,120.0,35.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,the village of taunton mills,,,,,,,,
565,THE VILLAGE OF WENTWORTH HEIGHTS,1620 Upper Wentworth Street,"Hamilton, L9B2W3",Hamilton Niagara Haldimand Brant (Hnhb),Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Hamilton, L9B2W3,120.0,26.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,the village of wentworth heights,158.0,The Village of Wentworth Heights,Hamilton,120.0,0,0,<5,Active
566,THE VILLAGE OF WINSTON PARK,695 Block Line Road,"Kitchener, N2E3K1",Waterloo Wellington,Winston Hall Nursing Homes Limited,,For-Profit,Home with approximately 95 beds,No,Yes,No,Yes,,Kitchener, N2E3K1,95.0,36.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,the village of winston park,159.0,The Village of Winston Park,Kitchener,95.0,<5,0,0,Active
567,THE VILLAGE SENIORS COMMUNITY,101-10Th Street,"Hanover, N4N1M9",South West,Hanover Operating Inc.,,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,,Hanover, N4N1M9,70.0,35.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,the village seniors community,,,,,,,,
568,THE WELLINGTON NURSING HOME,1430 Upper Wellington Street,"Hamilton, L9A5H3",Hamilton Niagara Haldimand Brant (Hnhb),Barton Retirement Inc.,Southrim Development Inc.,For-Profit,Home with approximately 102 beds,No,Yes,Yes,Yes,,Hamilton, L9A5H3,102.0,40.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,the wellington nursing home,,,,,,,,
569,THE WEST NIPISSING GENERAL HOSPITAL,725 Coursol,"Sturgeon Falls, P2B2Y6",North East,The West Nipissing General Hospital,,Non-Profit,Home with approximately 48 beds,No,Yes,No,Yes,,Sturgeon Falls, P2B2Y6,48.0,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the west nipissing general hospital,,,,,,,,
570,THE WEXFORD,1860 Lawrence Avenue East,"Scarborough, M1R5B1",Central East,The Wexford Residence Inc.,,Non-Profit,Home with approximately 166 beds,No,Yes,Yes,Yes,,Scarborough, M1R5B1,166.0,56.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,the wexford,55.0,The Wexford,Scarborough,166.0,,0,,Inactive
571,THE WILLOWS ESTATE NURSING HOME,13837 Yonge Street,"Aurora, L4G3G8",Central,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 84 beds,No,Yes,No,Yes,,Aurora, L4G3G8,84.0,23.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,the willows estate nursing home,,,,,,,,
572,THE WOODLANDS OF SUNSET,920 Pelham Street,"Welland, L3C1Y5",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 121 beds,No,Yes,Yes,Yes,,Welland, L3C1Y5,121.0,20.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the woodlands of sunset,56.0,The Woodlands of Sunset,Welland,121.0,,0,,Inactive
573,THOMPSON HOUSE,1 Overland Drive,"North York, M3C2C3",Central,Don Mills Foundation For Seniors,,Non-Profit,Home with approximately 136 beds,No,Yes,Yes,No,,North York, M3C2C3,136.0,16.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,thompson house,,,,,,,,
574,THORNTONVIEW,186 Thornton Road South,"Oshawa, L1J5Y2",Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 154 beds,No,Yes,Yes,Yes,,Oshawa, L1J5Y2,154.0,42.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,thorntonview,,,,,,,,
576,TILBURY MANOR NURSING HOME,16 Fort Street P.O. Box 160,"Tilbury, N0P2L0",Erie St. Clair,"Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation",Universalcare Canada Inc.,For-Profit,Home with approximately 75 beds,Yes,Yes,Yes,Yes,,Tilbury, N0P2L0,75.0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,tilbury manor nursing home,,,,,,,,
578,TONY STACEY CENTRE FOR VETERANS' CARE,59 Lawson Road,"Toronto, M1C2J1",Central East,Royal Canadian Legion District 'd' Care Centres,Universalcare Canada Inc.,Non-Profit,Home with approximately 100 beds,Yes,Yes,No,No,,Toronto, M1C2J1,100.0,17.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,tony stacey centre for veterans' care,160.0,Tony Stacey Centre for Veterans' Care,Toronto,100.0,<5,0,0,Active
