name,cleaned_name,address,LHIN,home_type,city,postal_code,short_stay,residents_council,family_council,accreditation,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,antipsychotic_percent,depression_percent,falls_percent,pressure_ulcers_percent,pain_percent,restraints_percent,confirmed_resident_cases,resident_deaths,confirmed_staff_cases,status,number_beds,CSDname,CSDuid,latitude,longitude
FOYER RICHELIEU WELLAND,foyer richelieu welland,655 Tanguay Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Welland, L3B6A1,No,Yes,Yes,No,43,21,8,28,8,5,3,3,3,8,6,0,13.3,34.7,21.1,5.2,7,0.3,,,,,63,Welland,3526032,42.99062027,-79.22461408
GROVES PARK LODGE,groves park lodge,470 Raglan Street North,Champlain,For-Profit,Renfrew, K7V1P5,Yes,Yes,Yes,Yes,19,14,8,4,3,2,10,7,5,3,3,2,18.6,35.4,15.7,5.2,6.8,0,,,,,90,Renfrew,3547048,45.48151172,-76.69696907
FOYER ST-VIATEUR NURSING HOME,foyer st-viateur nursing home,1003 Limoges Road South,Champlain,For-Profit,Limoges, K0A2M0,No,Yes,Yes,Yes,66,30,10,24,4,0,13,8,6,23,14,2,23.1,18.3,12,3.3,0,20.3,,,,,57,The Nation / La Nation,3502025,45.29369315,-75.22846107
HELEN HENDERSON NURSING HOME,helen henderson nursing home,343 Amherst Drive,South East,For-Profit,Amherstview, K7N1X3,No,Yes,Yes,Yes,59,28,10,29,12,3,14,9,5,6,2,2,33.1,32.2,16.3,3.3,9.6,15.8,,,,,104,Loyalist,3511005,44.22539531,-76.66374476
GOLDEN DAWN NURSING HOME,golden dawn nursing home,80 Main Street P. O. Box 129,South West,Non-Profit,Lion's Head, N0H1W0,No,Yes,Yes,No,17,10,5,5,3,2,2,1,1,9,7,4,25,45.1,14.5,3.1,10.4,0.6,,0,,Inactive,45,Northern Bruce Peninsula,3541069,44.98706902,-81.25537981
GRACE VILLA NURSING HOME,grace villa nursing home,45 Lockton Crescent,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Hamilton, L8V4V5,No,Yes,No,Yes,81,26,12,37,10,5,13,6,5,31,13,4,26.1,33.3,16.8,5.3,4.1,0.5,,0,,Inactive,184,Hamilton,3525005,43.21147629,-79.84709659
EDGEWATER GARDENS LONG TERM CARE CENTRE,edgewater gardens long term care centre,428 Broad Street West,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Dunnville, N1A1T3,No,Yes,Yes,Yes,21,15,10,10,6,5,3,2,2,6,5,2,15.4,30.8,20,1.8,9.3,19.5,,,,,64,Haldimand County,3528018,42.90614674,-79.625957
HYLAND CREST,hyland crest,6 McPherson Street P.O. Box 30,Central East,Municipal,Minden, K0M2K0,Yes,Yes,Yes,Yes,22,13,8,3,1,0,11,7,7,7,4,2,24.2,33.6,15.1,4,17.9,21.6,,,,,62,Minden Hills,3546015,44.92594814,-78.72985369
HANOVER CARE CENTRE,hanover care centre,700-19th Avenue,South West,For-Profit,Hanover, N4N3S6,No,Yes,No,No,22,13,4,7,3,1,6,4,3,4,2,0,13.3,32.7,9.6,5.7,0.6,12,,,,,41,Hanover,3542029,44.15991379,-81.01744915
HELLENIC HOME - SCARBOROUGH,hellenic home - scarborough,2411 Lawrence Avenue East,Central East,Non-Profit,Scarborough, M1P4X1,Yes,Yes,Yes,Yes,38,18,13,24,8,6,5,4,3,4,4,4,20,23.5,8.4,2.5,1,0,42,14,14,Active,128,Toronto,3520005,43.74876471,-79.27408486
THE HERITAGE NURSING HOME,the heritage nursing home,1195 Queen Street East,Toronto Central,For-Profit,Toronto, M4M1L6,Yes,Yes,Yes,Yes,24,10,6,8,2,2,6,2,2,10,5,3,11.7,1.5,15.2,2.2,12.7,1,,,,,201,Toronto,3520005,43.66272499,-79.33111227
HILLCREST VILLAGE CARE CENTRE,hillcrest village care centre,255 Russell Street,North Simcoe Muskoka,For-Profit,Midland, L4R5L6,No,Yes,Yes,Yes,23,13,7,9,3,2,9,6,4,2,2,1,28.2,22.6,15.7,2.1,3.7,1.3,,,,,164,Midland,3543074,44.75357305,-79.87963994
HILLTOP MANOR NURSING HOME (MERRICKVILLE),hilltop manor nursing home (merrickville),1005 St Lawrence Street P.O. Box 430,South East,For-Profit,Merrickville, K0G1N0,No,Yes,Yes,No,41,12,5,22,4,2,4,3,1,8,2,1,20,18.1,16.9,0.9,3.7,0,,,,,60,Merrickville-Wolford,3507052,44.90918586,-75.83453904
FAITH MANOR NURSING HOME,faith manor nursing home,7900 Mclaughlin Road South,Central West,Non-Profit,Brampton, L6Y5A7,No,Yes,Yes,Yes,39,18,6,15,4,2,11,4,2,12,8,3,8.4,31.3,21.1,2.3,1.4,5.2,<5,<5,<5,Active,120,Brampton,3521010,43.65401717,-79.7413989
GRACE MANOR,grace manor,45 Kingknoll Drive,Central West,Non-Profit,Brampton, L6Y5P2,No,Yes,Yes,Yes,35,18,11,18,8,6,10,4,4,9,6,2,8.4,28.6,15.5,4.5,0.2,0.7,7,11,<5,Active,120,Brampton,3521010,43.65294337,-79.7414379
FAIRVERN NURSING HOME,fairvern nursing home,14 Mill Street,North Simcoe Muskoka,Non-Profit,Huntsville, P1H2A4,No,Yes,Yes,Yes,21,11,6,4,2,2,7,4,4,4,0,0,46.5,15,16.3,1.2,8.3,7,,,,,76,Huntsville,3544042,45.32656618,-79.21252868
IOOF SENIORS HOME,ioof seniors home,10 Brooks Street,North Simcoe Muskoka,Non-Profit,Barrie, L4N7X2,Yes,Yes,Yes,No,30,18,8,11,4,0,10,8,5,10,7,3,21.1,22.1,14.5,3.3,6,1.1,,0,,Inactive,182,Barrie,3543042,44.3686217,-79.68736455
INA GRAFTON GAGE HOME,ina grafton gage home,40 Bell Estate Road,Central East,Non-Profit,Scarborough, M1L0E2,No,No,Yes,Yes,59,28,7,31,14,3,15,8,3,13,5,2,21.8,7.1,12,1,0,1.8,31,29,15,Active,128,Toronto,3520005,43.705765,-79.27714255
ALEXANDER PLACE,alexander place,329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Waterdown, L0R2H0,Yes,Yes,Yes,Yes,28,17,8,11,6,3,8,5,2,4,4,2,20.7,11.3,13.6,2.6,1.8,1.7,<5,0,0,Active,128,Hamilton,3525005,43.34234541,-79.90081952
AVALON RETIREMENT CENTRE,avalon retirement centre,355 Broadway Avenue,Central West,For-Profit,Orangeville, L9W3Y3,Yes,Yes,Yes,Yes,30,16,10,15,8,5,8,3,3,7,5,3,16.7,17.9,16.1,2.9,7.4,0,,0,,Inactive,137,Orangeville,3522014,43.9169995,-80.11650514
ELIZABETH CENTRE,elizabeth centre,2100 Main Street,North East,For-Profit,Val Caron, P3N1S7,Yes,Yes,Yes,Yes,51,29,17,20,9,4,16,8,5,15,12,8,19.7,28,10.7,2.7,3.1,3.2,<5,0,<5,Active,128,Greater Sudbury / Grand Sudbury,3553005,46.6119611,-81.02674901
LEACOCK CARE CENTRE,leacock care centre,25 Museum Drive,North Simcoe Muskoka,For-Profit,Orillia, L3V7T9,Yes,Yes,Yes,Yes,38,26,12,14,8,3,12,8,4,10,9,5,23.4,34.4,15.9,3.2,6.5,0,,,,,145,Orillia,3543052,44.60660015,-79.39492597
MANITOULIN LODGE,manitoulin lodge,3 Main Street P. O. Box 648,North East,For-Profit,Gore Bay, P0P1H0,Yes,Yes,Yes,Yes,27,11,7,9,2,2,11,4,4,5,3,0,14.1,27,12.8,1.5,9,0,0,0,<5,Active,62,Gore Bay,3551026,45.91388961,-82.46562059
MEADOW PARK (LONDON),meadow park (london),1210 Southdale Road East,South West,For-Profit,London, N6E1B4,Yes,Yes,Yes,Yes,90,50,13,48,26,8,25,15,3,12,9,2,7.4,23.3,13.9,2.1,4.3,0,<5,<5,8,Active,126,London,3539036,42.94667847,-81.2020519
MEADOW PARK NURSING HOME (CHATHAM),meadow park nursing home (chatham),110 Sandys Street,Erie St. Clair,For-Profit,Chatham, N7L4X3,Yes,Yes,Yes,Yes,19,8,5,8,2,2,6,2,2,0,0,0,14.2,19,17.8,2.4,4.8,0,,,,,99,Chatham-Kent,3536020,42.40705193,-82.19885326
MUSKOKA LANDING,muskoka landing,65 Rogers Cove Drive,North Simcoe Muskoka,For-Profit,Huntsville, P1H2L9,Yes,Yes,Yes,Yes,32,16,8,15,2,2,9,6,3,5,5,1,11.7,22.1,18.6,3.4,3.8,0,,,,,94,Huntsville,3544042,45.33624348,-79.20221468
ROBERTA PLACE,roberta place,503 Essa Road,North Simcoe Muskoka,For-Profit,Barrie, L4N9E4,Yes,Yes,No,Yes,38,22,18,16,6,6,13,10,9,10,9,5,19.6,22.1,15.2,3,2.5,0,,,,,140,Barrie,3543042,44.34268529,-79.70744685
ROYAL ROSE PLACE,royal rose place,635 Prince Charles Drive North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Welland, L3C0C7,No,No,No,No,13,13,8,3,3,2,4,4,2,3,3,2,30.6,21.1,18.1,5.6,2.2,0.2,<5,18,<5,Active,96,Welland,3526032,43.00162217,-79.26928669
SOUTHAMPTON CARE CENTRE,southampton care centre,140 Grey Street P.O. Box 790,South West,For-Profit,Southampton, N0H2L0,Yes,Yes,Yes,Yes,28,11,7,8,2,2,12,2,2,4,3,3,9,24,14.1,2.9,7.8,2.4,,,,,88,Saugeen Shores,3541045,44.48871523,-81.36830209
STAYNER CARE CENTRE,stayner care centre,"244 Main Street East 7308 Highway #26, P.O. Box 350",North Simcoe Muskoka,For-Profit,Stayner, L0M1S0,No,Yes,No,No,15,10,5,3,2,1,3,3,3,5,3,1,25.8,16.2,12.9,3.5,7.9,1.4,,,,,49,Clearview,3543005,44.41953308,-80.09109148
TEMISKAMING LODGE,temiskaming lodge,100 Bruce Street P.O. Box 1180,North East,For-Profit,Haileybury, P0J1K0,Yes,Yes,Yes,Yes,22,10,8,6,1,1,9,5,5,6,2,2,17.7,30.7,13.7,0.8,6.8,3.3,,0,,Inactive,83,Temiskaming Shores,3554020,47.43879,-79.63082324
THE VILLA CARE CENTRE,the villa care centre,689 Yonge Street,North Simcoe Muskoka,For-Profit,Midland, L4R2E1,Yes,Yes,No,Yes,29,15,12,11,4,3,8,3,3,6,5,5,14.2,9.5,29.7,3.3,0,0.8,,,,,114,Midland,3543074,44.74305645,-79.89055855
E. J. MCQUIGGE LODGE,e. j. mcquigge lodge,38 Black Diamond Road P.O. Box 68,South East,For-Profit,Cannifton, K0K1K0,Yes,Yes,No,Yes,24,10,5,9,2,2,8,5,3,1,0,0,9.2,44,15.3,2.7,0.9,9.9,,,,,57,Belleville,3512005,44.19803357,-77.39029009
KING NURSING HOME,king nursing home,49 Sterne Street,Central West,For-Profit,Bolton, L7E1B9,Yes,Yes,Yes,Yes,55,22,12,13,4,2,15,6,4,23,9,5,22.6,18.6,14.5,1.9,1.7,0.3,,,,,86,Caledon,3521024,43.87933771,-79.74065452
KINGSWAY LODGE NURSING HOME,kingsway lodge nursing home,310 Queen Street East R.R. #6,South West,For-Profit,St. Marys, N4X1C8,Yes,Yes,Yes,No,19,11,5,6,2,1,6,4,3,3,2,2,4.9,36,15.1,4.9,0.8,25.5,,,,,63,St. Marys,3531016,43.25961363,-81.1354479
KNOLLCREST LODGE,knollcrest lodge,50 William Street,South West,Non-Profit,Milverton, N0K1M0,Yes,Yes,Yes,No,14,6,3,4,1,1,6,2,2,1,1,0,5,28,9.8,1.6,2.1,0,,,,,78,Perth East,3531030,43.5706561,-80.92082216
KRISTUS DARZS LATVIAN HOME,kristus darzs latvian home,11290 Pine Valley Drive,Central,Non-Profit,Woodbridge, L4L1A6,Yes,Yes,No,No,18,13,6,4,4,1,7,5,4,5,4,4,12.1,34.3,18.3,3.2,1.4,0,19,11,15,Active,100,Vaughan,3519028,43.87156441,-79.59579547
LABDARA LITHUANIAN NURSING HOME,labdara lithuanian nursing home,5 Resurrection Road,Mississauga Halton,Non-Profit,Toronto, M9A5G1,No,Yes,Yes,No,19,7,4,6,0,0,8,3,3,1,1,0,32.8,22,12.5,2.7,2.5,7.2,,0,,Inactive,90,Toronto,3520005,43.64373408,-79.53092513
LADY DUNN HEALTH CENTRE (WAWA),lady dunn health centre (wawa),17 Government Road P.O. Box 179,North East,Non-Profit,Wawa, P0S1K0,Yes,Yes,Yes,Yes,15,10,3,2,1,0,5,3,1,7,6,1,28.2,21.8,1.8,7.7,11.9,18.6,,,,,16,Wawa,3557076,47.99979,-84.77191449
PINE MEADOW NURSING HOME,pine meadow nursing home,124 Lloyd Street P.O. Box 100,South East,Non-Profit,Northbrook, K0H2G0,Yes,Yes,Yes,Yes,20,13,5,7,5,2,5,4,2,3,1,1,26,30.4,20.7,1.8,12.7,0,,,,,60,Addington Highlands,3511035,44.7375315,-77.1556304
FAIRFIELD PARK,fairfield park,1934 Dufferin Avenue,Erie St. Clair,For-Profit,Wallaceburg, N8A4M2,No,Yes,No,No,32,16,11,12,5,4,13,7,6,1,0,0,21.2,30.5,19.5,4.3,0.5,0,,,,,99,Chatham-Kent,3536020,42.59425785,-82.41318124
LAPOINTE-FISHER NURSING HOME,lapointe-fisher nursing home,271 Metcalfe Street,Waterloo Wellington,For-Profit,Guelph, N1E4Y8,No,Yes,Yes,Yes,52,30,15,23,13,6,13,8,4,15,11,7,12,32.4,25.9,5.1,18.2,1.4,,,,,92,Guelph,3523008,43.56346913,-80.25748785
TRINITY VILLAGE CARE CENTRE,trinity village care centre,2727 Kingsway Drive,Waterloo Wellington,Non-Profit,Kitchener, N2C1A7,No,Yes,Yes,Yes,54,21,7,24,12,4,21,4,2,5,4,1,20,29.6,15.4,3.2,5.9,17.2,<5,18,<5,Active,150,Kitchener,3530013,43.4298142,-80.4417755
BRAEMAR RETIREMENT CENTRE,braemar retirement centre,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,Wingham, N0G2W0,No,Yes,No,Yes,39,14,6,18,7,2,10,3,3,13,6,1,22.2,18.4,16.5,3.9,3.7,9,,0,,Inactive,69,Morris-Turnberry,3540050,43.90065854,-81.30031372
STIRLING MANOR NURSING HOME,stirling manor nursing home,218 Edward Street P.O. Box 220,South East,For-Profit,Stirling, K0K3E0,No,Yes,No,Yes,35,19,6,10,5,3,12,8,2,5,1,0,21.3,33.2,20.1,4.5,11.6,0,,,,,75,Stirling-Rawdon,3512020,44.30226088,-77.54846075
FRIENDLY MANOR NURSING HOME,friendly manor nursing home,"9756 County Road, #2 P.O. Box 305",South East,For-Profit,Deseronto, K0K1X0,No,Yes,No,Yes,30,21,5,7,7,2,14,7,2,3,3,0,28.7,16.9,17.8,2.8,6.4,0.6,,,,,60,Greater Napanee,3511015,44.2012069,-77.0375329
CEDARWOOD VILLAGE,cedarwood village,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Simcoe, N3Y4R4,Yes,Yes,Yes,Yes,34,25,13,13,7,4,6,6,3,14,12,6,23.4,33.2,23.9,5.4,6.1,34,0,0,<5,Active,90,Norfolk County,3528052,42.8408326,-80.32971141
MAPLE MANOR NURSING HOME,maple manor nursing home,73 Bidwell Street,South West,For-Profit,Tillsonburg, N4G3T8,No,Yes,Yes,Yes,28,15,7,7,2,0,11,5,4,7,7,5,25.7,17.1,23.6,1.9,8,4.2,,,,,106,Tillsonburg,3532004,42.86006238,-80.72991974
MARIANHILL NURSING HOME,marianhill nursing home,600 Cecelia Street,Champlain,Non-Profit,Pembroke, K8A7Z3,Yes,Yes,Yes,Yes,32,22,12,12,8,6,15,10,6,0,0,0,12.6,33.6,18.8,2.6,5.2,3.6,,,,,139,Pembroke,3547064,45.81487556,-77.10391504
MARIANN HOME,mariann home,9915 Yonge Street,Central,Non-Profit,Richmond Hill, L4C1V1,No,Yes,Yes,Yes,13,6,3,2,1,0,4,2,2,4,2,0,16.1,18,7.2,1.5,3.8,4.8,,,,,64,Richmond Hill,3519038,43.86921402,-79.43615722
MARKHAVEN,markhaven,54 Parkway Avenue,Central,Non-Profit,Markham, L3P2G4,No,No,Yes,No,27,15,10,9,2,2,8,5,4,6,5,4,16.8,22,18.3,3.5,6.1,1.1,,17,,Inactive,96,Markham,3519036,43.88371943,-79.25422906
ST. JOSEPH'S AT FLEMING,st. joseph's at fleming,659 Brealey Drive,Central East,Non-Profit,Peterborough, K9K2R8,No,Yes,Yes,Yes,111,48,15,48,20,6,32,15,8,26,8,1,6,36.1,18.7,2.5,3,13.4,,<5,,Inactive,200,Peterborough,3515014,44.26877564,-78.36982641
WILKES TERRACE,wilkes terrace,20B Cartier Road,North West,Non-Profit,Terrace Bay, P0T2W0,No,Yes,Yes,Yes,9,5,2,2,0,0,1,1,1,2,0,0,21.7,34.8,14.5,1.2,7.5,0,,,,,22,Terrace Bay,3558054,48.78045446,-87.10460125
LAMBTON MEADOWVIEW VILLA,lambton meadowview villa,3958 Petrolia Line R. R. #4,Erie St. Clair,Municipal,Petrolia, N0N1R0,No,Yes,Yes,No,33,20,8,10,7,2,17,9,4,3,3,0,25.9,9.5,17.4,2.4,3.9,8.7,0,0,<5,Active,125,Enniskillen,3538016,42.88448582,-82.16482359
MEAFORD LONG TERM CARE - A PEOPLECARE COMMUNITY,meaford long term care - a peoplecare community,135 William Street,South West,For-Profit,Meaford, N4L1T4,Yes,Yes,Yes,Yes,36,9,5,10,2,2,14,3,2,7,3,3,17.2,25.6,12.2,1.4,18.7,0,,,,,77,Meaford,3542047,44.61169379,-80.60054596
PINECREST NURSING HOME - BOBCAYGEON,pinecrest nursing home (bobcaygeon),3418 County Road 36 R.R. #2,Central East,For-Profit,Bobcaygeon, K0M1A0,No,Yes,Yes,No,20,11,5,3,0,0,5,3,2,6,4,2,15.4,41.7,21.6,3.1,10.7,12.7,,29,,Inactive,65,Kawartha Lakes,3516010,44.52836508,-78.53389679
MENNONITE BRETHREN SENIOR CITIZENS HOME,mennonite brethren senior citizens home,1 Tabor Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,St Catharines, L2N1V9,Yes,Yes,Yes,No,28,13,6,5,1,0,13,6,4,4,4,1,16.5,39.3,14.1,3.6,3.8,5.8,,,,,82,St. Catharines,3526053,43.1888487,-79.2335379
CHATEAU PARK LONG TERM CARE HOME,chateau park long term care home,2990 B Riverside Drive West,Erie St. Clair,For-Profit,Windsor, N9C1A2,No,Yes,Yes,Yes,16,8,3,6,1,1,3,3,2,1,1,0,0,24.9,13.2,2.6,0.9,8.2,,,,,59,Windsor,3537039,42.30747117,-83.07313582
FRANKLIN GARDENS LONG TERM CARE HOME,franklin gardens long term care home,24 Franklin Road,Erie St. Clair,For-Profit,Leamington, N8H4B7,No,Yes,Yes,Yes,56,24,9,20,8,2,28,10,5,4,3,2,14.6,23.4,25.2,3.7,4.2,0,,0,,Inactive,120,Leamington,3537003,42.03083044,-82.59816325
REGENCY PARK LONG TERM CARE HOME,regency park long term care home,567 Victoria Avenue,Erie St. Clair,For-Profit,Windsor, N9A4N1,No,Yes,Yes,Yes,28,15,8,15,6,4,8,5,4,1,1,1,29.9,20.3,10.4,2.4,35.4,19.1,0,0,<5,Active,72,Windsor,3537039,42.31362957,-83.03932361
VICTORIA GARDENS LONG TERM CARE,victoria gardens long term care,176 Victoria Avenue North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Hamilton, L8L5G1,No,Yes,Yes,Yes,18,10,5,7,3,1,7,4,4,2,2,0,23.9,28.2,16.9,3,11.8,9.6,,,,,76,Hamilton,3525005,43.25834859,-79.8542586
MISSISSAUGA LONG TERM CARE FACILITY,mississauga long term care facility,26 Peter Street North,Mississauga Halton,For-Profit,Mississauga, L5H2G7,No,Yes,No,Yes,15,11,6,3,3,2,3,3,3,4,4,1,30.3,10.5,16.8,6.6,4,1.8,,,,,55,Mississauga,3521005,43.54970386,-79.59094324
TSIIONKWANONHSOTE,tsiionkwanonhsote,70 Kawehnoke Apartments Road,Champlain,Non-Profit,Akwesasne, K6H5R7,No,Yes,No,Yes,22,15,8,6,2,1,3,1,1,11,10,7,43.4,5.2,15.5,1.6,2.6,8.7,,,,,50,Akwesasne (Part) 59,3501007,45.0031277,-74.6869469
MON SHEONG HOME FOR THE AGED,mon sheong home for the aged,36 D'Arcy Street,Toronto Central,Non-Profit,Toronto, M5T1J7,Yes,Yes,No,No,13,9,4,3,1,1,4,4,3,0,0,0,17,4.6,11.3,2.5,4.4,6.3,58,33,16,Active,105,Toronto,3520005,43.65527498,-79.39314779
MON SHEONG RICHMOND HILL LONG TERM CARE CENTRE,mon sheong richmond hill long term care centre,11199 Yonge Street,Central,Non-Profit,Richmond Hill, L4S1L2,Yes,Yes,Yes,No,13,10,6,4,4,4,4,2,2,0,0,0,25,6.6,9.8,1.5,0.6,0.8,,,,,192,Richmond Hill,3519038,43.90134473,-79.44320193
MON SHEONG SCARBOROUGH LONG TERM CARE CENTRE,mon sheong scarborough long term care centre,2030 Mcnicoll Avenue,Central East,Non-Profit,Scarborough, M1V5P4,Yes,Yes,Yes,No,18,13,6,5,4,2,8,6,3,2,1,0,15.5,10.6,11.6,1.8,1.5,12.1,,0,,Inactive,160,Toronto,3520005,43.81309612,-79.29999097
RIVERVIEW GARDENS,riverview gardens,519 King Street West,Erie St. Clair,Municipal,Chatham, N7M1G8,Yes,Yes,Yes,No,104,42,17,42,22,6,54,15,10,2,1,1,32.8,26,20.1,4.2,6.6,6.5,,,,,320,Chatham-Kent,3536020,42.39921553,-82.19474266
"NIAGARA HEALTH SYSTEM, WELLAND HOSPITAL SITE, EXTENDED CARE UNIT","niagara health system, welland hospital site, extended care unit",155 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,St. Catharines, L2R5K3,No,Yes,No,Yes,30,13,5,12,0,0,5,4,3,10,5,1,20.1,10.3,18.8,3.1,20.6,11.5,,,,,115,Welland,3526032,42.97988177,-79.24856448
NIAGARA INA GRAFTON GAGE VILLAGE,niagara ina grafton gage village,413 Linwell Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,St Catharines, L2M7Y2,No,Yes,Yes,No,30,21,7,8,5,2,3,3,2,13,9,2,26.9,7.8,18.1,5.4,0.4,10.7,,,,,40,St. Catharines,3526053,43.20027151,-79.22528859
THE NORFOLK HOSPITAL NURSING HOME,the norfolk hospital nursing home,365 West Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Simcoe, N3Y1T7,No,Yes,Yes,Yes,12,8,3,4,2,1,2,1,1,2,2,0,24.8,26.2,13.3,3.3,1.5,0,<5,0,0,Active,80,Norfolk County,3528052,42.8351656,-80.31432431
NORTH CENTENNIAL MANOR,north centennial manor,2 Kimberly Drive,North East,Non-Profit,Kapuskasing, P5N1L5,No,Yes,Yes,No,17,11,5,2,1,1,8,5,4,4,3,0,21,30.3,9.1,1,10.5,7.5,,,,,78,Kapuskasing,3556066,49.42402834,-82.43174902
NORTH PARK NURSING HOME,north park nursing home,450 Rustic Road,Central,For-Profit,North York, M6L1W9,No,Yes,Yes,Yes,26,8,5,11,2,1,6,2,2,3,1,0,23.1,28.5,9.7,6.2,0.8,2.9,,0,,Inactive,75,Toronto,3520005,43.71741799,-79.48214652
NORTH SHORE HEALTH NETWORK – LTC UNIT,north shore health network - ltc unit,525 Causley Street P. O. Box 970,North East,Non-Profit,Blind River, P0R1B0,No,Yes,Yes,Yes,15,7,3,3,0,0,4,1,1,5,3,1,10.7,18.6,6.4,1.5,11,0,,,,,22,Blind River,3557038,46.18737143,-82.92406797
SENIORS' HEALTH CENTRE,seniors' health centre,2 Buchan Court,Central,Non-Profit,North York, M2J5A3,Yes,Yes,Yes,Yes,33,21,8,13,8,3,7,5,4,11,6,3,11.7,5.5,13.5,1.4,1.7,1.6,,,,,192,Toronto,3520005,43.77304721,-79.36002319
NORWOOD NURSING HOME,norwood nursing home,122 Tyndall Avenue,Toronto Central,For-Profit,Toronto, M6K2E2,No,Yes,Yes,Yes,15,8,3,7,2,1,2,1,1,1,0,0,35.1,15.8,9.1,1.9,0,0,,0,,Inactive,60,Toronto,3520005,43.63752278,-79.4293819
ALMONTE COUNTRY HAVEN,almonte country haven,333 Country Street P.O. Box 250,Champlain,For-Profit,Almonte, K0A1A0,No,Yes,Yes,Yes,49,27,10,22,12,4,19,11,5,3,2,1,7.2,20.9,21.3,3,4.6,15.7,0,30,0,Active,82,Mississippi Mills,3509030,45.2188403,-76.19075728
BURNBRAE GARDENS LONG TERM CARE RESIDENCE,burnbrae gardens long term care residence,320 Burnbrae Road East P.O. Box 1090,Central East,For-Profit,Campbellford, K0L1L0,No,Yes,Yes,Yes,28,16,5,7,6,4,7,4,1,6,1,0,19.4,31.1,17.4,2.5,0.2,0,,,,,43,Trent Hills,3514045,44.28480207,-77.84842135
COUNTRY TERRACE,country terrace,10072 Oxbow Drive R.R. #3,South West,For-Profit,Komoka, N0L1R0,Yes,Yes,No,Yes,83,30,11,31,13,4,41,10,5,5,4,2,6.7,26.3,16.4,0.5,1.3,1.9,,0,,Inactive,120,Middlesex Centre,3539033,42.95867137,-81.43757387
FOREST HILL,forest hill,6501 Campeau Drive,Champlain,For-Profit,Kanata, K2K3E9,No,Yes,Yes,Yes,42,23,9,17,10,5,16,6,3,3,2,0,22.8,17.4,13.7,3.6,4.7,6.8,,,,,160,Ottawa,3506008,45.31439133,-75.9096673
FROST MANOR,frost manor,225 Mary Street West,Central East,For-Profit,Lindsay, K9V5K3,No,Yes,Yes,Yes,22,15,4,4,3,0,10,6,3,3,1,0,22.4,27.6,21.5,2.2,4.3,1.6,,,,,62,Kawartha Lakes,3516010,44.342364,-78.747889
GARDEN TERRACE,garden terrace,100 Aird Place,Champlain,For-Profit,Kanata, K2L4H8,Yes,Yes,Yes,Yes,56,43,22,21,13,9,25,21,11,5,5,1,14.1,16.3,14.7,3.4,4.7,8.8,0,0,<5,Active,160,Ottawa,3506008,45.30976033,-75.9009793
KENTWOOD PARK,kentwood park,2 Ontario Street,South East,For-Profit,Picton, K0K2T0,No,Yes,Yes,Yes,27,13,6,8,3,2,12,6,3,2,1,1,15.8,18.6,14.2,2.3,5.8,11,,,,,45,Prince Edward County,3513020,44.00244715,-77.14847409
MAPLEWOOD,maplewood,12 Maplewood Avenue Box 249,South East,For-Profit,Brighton, K0K1H0,No,Yes,Yes,Yes,25,19,10,3,2,2,14,11,6,6,5,3,30.7,30.9,13.3,2.1,2,0,,0,,Inactive,49,Brighton,3514004,44.0396526,-77.7444136
PLEASANT MEADOW MANOR,pleasant meadow manor,99 Alma Street P. O. Box 426,Central East,For-Profit,Norwood, K0L2V0,No,Yes,Yes,Yes,22,12,7,8,4,4,7,4,3,2,2,0,29.7,19.7,20,5.2,4.9,4.1,,,,,61,Asphodel-Norwood,3515003,44.37927558,-77.96791169
RIVERVIEW MANOR NURSING HOME,riverview manor nursing home,1155 Water Street,Central East,For-Profit,Peterborough, K9H3P8,No,Yes,Yes,Yes,35,19,7,12,4,2,11,6,3,5,5,2,22.4,17,9.8,2.7,0.4,2.7,,0,,Inactive,124,Peterborough,3515014,44.33636205,-78.3150222
ROSEBRIDGE MANOR,rosebridge manor,131 Roses Bridge Road R. R. #2,South East,For-Profit,Jasper, K0G1G0,No,Yes,Yes,Yes,24,14,5,9,3,1,10,8,4,1,0,0,31.7,22.6,20.3,1.4,2,6.4,,0,,Inactive,78,Merrickville-Wolford,3507052,44.84219285,-75.89019625
SPRINGDALE COUNTRY MANOR,springdale country manor,2698 Clifford Line R. R. #5,Central East,For-Profit,Peterborough, K9J6X6,No,Yes,Yes,Yes,30,19,6,12,7,3,8,6,3,6,3,0,17.9,11.7,7.1,2.8,0.8,3.6,,,,,68,Cavan Monaghan,3515013,44.23107203,-78.39679912
