index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
251,H.J. MCFARLAND MEMORIAL HOME,"R.R. #2, 603 Highway 49 Hallowell Township","Picton, K0K2T0",South East,County Of Prince Edward,,Municipal,Home with approximately 84 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,84,62.0,35.0,13.0,15.0,8.0,3.0,29.0,17.0,9.0,14.0,9.0,2.0
252,HALLOWELL HOUSE,13628 Loyalist Parkway,"Picton, K0K2T0",South East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 97 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,97,41.0,18.0,8.0,16.0,7.0,4.0,17.0,5.0,3.0,5.0,5.0,2.0
253,HAMILTON CONTINUING CARE,125 Wentworth Street South,"Hamilton, L8N2Z1",Hamilton Niagara Haldimand Brant (Hnhb),Schlegel Villages Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Hamilton, L8N2Z1,64,42.0,21.0,8.0,14.0,3.0,1.0,13.0,6.0,3.0,13.0,10.0,3.0
254,HAMPTON TERRACE CARE CENTRE,75 Plains Road West,"Burlington, L7T1E8",Hamilton Niagara Haldimand Brant (Hnhb),Unger Nursing Homes Limited,,For-Profit,Home with approximately 101 beds,No,Yes,Yes,Yes,,Burlington, L7T1E8,101,31.0,14.0,5.0,14.0,5.0,2.0,4.0,3.0,1.0,11.0,5.0,1.0
255,HANOVER CARE CENTRE,700-19th Avenue,"Hanover, N4N3S6",South West,Hanover Nursing Home Limited,,For-Profit,Home with approximately 41 beds,No,Yes,No,No,,Hanover, N4N3S6,41,22.0,13.0,4.0,7.0,3.0,1.0,6.0,4.0,3.0,4.0,2.0,
256,HARDY TERRACE,612 Mount Pleasant Road R. R. #2,"Brantford, N3T5L5",Hamilton Niagara Haldimand Brant (Hnhb),"Diversicare Canada Management Services Co., Inc.",,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,,Brantford, N3T5L5,101,47.0,21.0,13.0,20.0,7.0,5.0,16.0,7.0,5.0,14.0,7.0,5.0
257,HARMONY HILLS CARE COMMUNITY,1800 O'Connor Drive,"Toronto, M4A1W7",Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Toronto, M4A1W7,160,19.0,9.0,6.0,6.0,3.0,3.0,7.0,3.0,3.0,1.0,,
258,HAROLD AND GRACE BAKER CENTRE,1 Northwestern Avenue,"Toronto, M6M2J7",Central,Harold And Grace Baker Centre,Revera Long Term Care Inc.,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Toronto, M6M2J7,120,22.0,13.0,6.0,12.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0
259,HASTINGS CENTENNIAL MANOR,1 Manor Lane P.O. Box 758,"Bancroft, K0L1C0",South East,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 110 beds,Yes,Yes,Yes,Yes,,Bancroft, K0L1C0,110,33.0,27.0,13.0,7.0,6.0,6.0,19.0,16.0,6.0,2.0,1.0,
260,HASTINGS MANOR HOME FOR THE AGED,476 Dundas Street West P.O. Box 458,"Belleville, K8N5B2",South East,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 253 beds,Yes,Yes,Yes,Yes,,Belleville, K8N5B2,253,72.0,57.0,14.0,27.0,22.0,7.0,34.0,26.0,6.0,9.0,8.0,
261,HAWTHORN WOODS CARE COMMUNITY,9257 Goreway Drive,"Brampton, L6P0N5",Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Brampton, L6P0N5,160,60.0,28.0,16.0,26.0,7.0,4.0,24.0,14.0,9.0,8.0,7.0,4.0
262,HAWTHORNE PLACE CARE CENTRE,2045 Finch Avenue West,"North York, M3N1M9",Central,Rykka Care Centres Lp,,For-Profit,Home with approximately 269 beds,Yes,Yes,Yes,Yes,,North York, M3N1M9,269,88.0,31.0,13.0,41.0,13.0,6.0,28.0,11.0,4.0,23.0,10.0,6.0
263,HEARTWOOD (FKA VERSA-CARE CORNWALL),201-11th Street East,"Cornwall, K6H2Y6",Champlain,Heartwood Operating Inc.,,For-Profit,Home with approximately 118 beds,No,Yes,Yes,Yes,,Cornwall, K6H2Y6,118,39.0,24.0,13.0,19.0,13.0,6.0,15.0,7.0,5.0,2.0,2.0,2.0
264,HEIDEHOF LONG TERM CARE HOME,600 Lake Street,"St. Catharines, L2N4J4",Hamilton Niagara Haldimand Brant (Hnhb),"Benevolent Society ""heidehof"" For The Care Of The Aged",,Non-Profit,Home with approximately 106 beds,No,Yes,No,No,,St. Catharines, L2N4J4,106,22.0,12.0,4.0,6.0,3.0,1.0,4.0,1.0,,6.0,4.0,
265,HELEN HENDERSON NURSING HOME,343 Amherst Drive,"Amherstview, K7N1X3",South East,Gibson Holdings (Ontario) Ltd.,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Amherstview, K7N1X3,104,59.0,28.0,10.0,29.0,12.0,3.0,14.0,9.0,5.0,6.0,2.0,2.0
266,HELLENIC CARE FOR SENIORS (TORONTO),215 Tyrrel Avenue,"Toronto, M6G4A9",Toronto Central,Hellenic Care For Seniors (Toronto) Inc.,,Non-Profit,Home with approximately 81 beds,No,Yes,No,Yes,,Toronto, M6G4A9,81,20.0,10.0,6.0,9.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0
267,HELLENIC HOME - SCARBOROUGH,2411 Lawrence Avenue East,"Scarborough, M1P4X1",Central East,Hellenic Home For The Aged Inc.,,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P4X1,128,38.0,18.0,13.0,24.0,8.0,6.0,5.0,4.0,3.0,4.0,4.0,4.0
268,HENLEY PLACE,1961 Cedarhollow Blvd,"London, N5X0K2",South West,Henley Place Limited,Primacare Living Solutions Inc.,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,London, N5X0K2,192,62.0,44.0,19.0,31.0,18.0,5.0,20.0,17.0,10.0,6.0,5.0,2.0
269,HERITAGE GREEN NURSING HOME,353 Isaac Brock Drive,"Stoney Creek, L8J2J3",Hamilton Niagara Haldimand Brant (Hnhb),Heritage Green Nursing Home,,Non-Profit,Home with approximately 167 beds,No,Yes,Yes,Yes,,Stoney Creek, L8J2J3,167,61.0,27.0,16.0,23.0,10.0,7.0,11.0,4.0,3.0,28.0,11.0,3.0
270,HERON TERRACE LONG TERM CARE COMMUNITY,11550 McNorton Street,"Windsor, N8P1T9",Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 140 beds,No,Yes,No,Yes,,Windsor, N8P1T9,140,87.0,35.0,9.0,53.0,20.0,5.0,27.0,12.0,4.0,4.0,,
271,HIGHLAND WOOD,7199 Gelert Road P.O. Box 115,"Haliburton, K0M1S0",Central East,Haliburton Highlands Health Services Corporation,,Non-Profit,Home with approximately 30 beds,No,Yes,Yes,Yes,,Haliburton, K0M1S0,30,15.0,10.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0
272,HILLCREST VILLAGE CARE CENTRE,255 Russell Street,"Midland, L4R5L6",North Simcoe Muskoka,Hillcrest Village Inc.,,For-Profit,Home with approximately 164 beds,No,Yes,Yes,Yes,,Midland, L4R5L6,164,23.0,13.0,7.0,9.0,3.0,2.0,9.0,6.0,4.0,2.0,2.0,1.0
273,HILLEL LODGE,10 Nadolny Sachs Private,"Ottawa, K2A4G7",Champlain,The Ottawa Jewish Home For The Aged,,Non-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Ottawa, K2A4G7,121,49.0,33.0,17.0,27.0,18.0,12.0,12.0,9.0,5.0,7.0,5.0,2.0
274,HILLSDALE ESTATES,590 Oshawa Blvd. North,"Oshawa, L1G5T9",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 300 beds,No,Yes,Yes,Yes,,Oshawa, L1G5T9,300,52.0,31.0,14.0,23.0,11.0,5.0,20.0,11.0,7.0,12.0,12.0,8.0
275,HILLSDALE TERRACES,600 Oshawa Blvd. North,"Oshawa, L1G5T9",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Oshawa, L1G5T9,200,57.0,26.0,9.0,30.0,14.0,6.0,20.0,8.0,3.0,5.0,3.0,1.0
276,HILLSIDE MANOR,R. R. #5,"Stratford, N5A6S6",South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,Yes,,Stratford, N5A6S6,90,29.0,17.0,9.0,8.0,5.0,3.0,15.0,8.0,6.0,1.0,1.0,
277,HILLTOP MANOR NURSING HOME (MERRICKVILLE),1005 St Lawrence Street P.O. Box 430,"Merrickville, K0G1N0",South East,Hilltop Manor Nursing Home,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,,Merrickville, K0G1N0,60,41.0,12.0,5.0,22.0,4.0,2.0,4.0,3.0,1.0,8.0,2.0,1.0
278,HOGARTH RIVERVIEW MANOR,300 Lillie Street,"Thunder Bay, P7C4Y7",North West,St. Joseph's Care Group,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 543 beds,No,Yes,Yes,Yes,,Thunder Bay, P7C4Y7,543,84.0,62.0,33.0,32.0,24.0,13.0,23.0,17.0,12.0,41.0,34.0,14.0
279,HOPE STREET TERRACE,20 Hope Street South,"Port Hope, L1A2M8",Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 97 beds,Yes,Yes,No,Yes,,Port Hope, L1A2M8,97,41.0,22.0,10.0,8.0,4.0,2.0,19.0,11.0,6.0,6.0,1.0,1.0
280,HORNEPAYNE COMMUNITY HOSPITAL,278 Front Street P.O. Box 190,"Hornepayne, P0M1Z0",North East,Hornepayne Community Hospital,,Non-Profit,Home with approximately 12 beds,No,No,No,Yes,,Hornepayne, P0M1Z0,12,11.0,7.0,4.0,2.0,,,,,,6.0,6.0,3.0
281,HUMBER VALLEY TERRACE,95 Humber College Blvd.,"Rexdale, M9V5B5",Central West,Humber Valley Terrace Operating Inc.,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,,Rexdale, M9V5B5,158,34.0,16.0,3.0,17.0,4.0,1.0,8.0,5.0,1.0,8.0,7.0,2.0
283,HURON LODGE LONG TERM CARE HOME,1881 Cabana Road West,"Windsor, N9G1C7",Erie St. Clair,Corporation Of The City Of Windsor,,Municipal,Home with approximately 224 beds,Yes,Yes,No,Yes,,Windsor, N9G1C7,224,44.0,26.0,10.0,25.0,12.0,4.0,14.0,9.0,4.0,,,
284,HURONLEA HOME FOR THE AGED,820 Turnberry Street South,"Brussels, N0G1H0",South West,Corporation Of The County Of Huron,,Municipal,Home with approximately 64 beds,No,Yes,Yes,No,,Brussels, N0G1H0,64,26.0,15.0,6.0,5.0,5.0,2.0,12.0,4.0,3.0,4.0,2.0,1.0
285,HURONVIEW HOME FOR THE AGED,77722A London Road R.R. #5,"Clinton, N0M1L0",South West,Corporation Of The County Of Huron,,Municipal,Home with approximately 120 beds,No,Yes,Yes,No,,Clinton, N0M1L0,120,39.0,18.0,7.0,14.0,7.0,1.0,18.0,8.0,6.0,4.0,1.0,
286,HYLAND CREST,6 McPherson Street P.O. Box 30,"Minden, K0M2K0",Central East,Haliburton Highlands Health Services Corporation,,Municipal,Home with approximately 62 beds,Yes,Yes,Yes,Yes,,Minden, K0M2K0,62,22.0,13.0,8.0,3.0,1.0,,11.0,7.0,7.0,7.0,4.0,2.0
287,IDLEWYLD MANOR,449 Sanatorium Road,"Hamilton, L9C2A7",Hamilton Niagara Haldimand Brant (Hnhb),Idlewyld Manor,,Non-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Hamilton, L9C2A7,192,58.0,19.0,11.0,26.0,5.0,3.0,19.0,5.0,4.0,14.0,10.0,6.0
288,ILER LODGE,111 Iler Avenue,"Essex, N8M1T6",Erie St. Clair,Axr Operating (National) Lp,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Essex, N8M1T6,104,108.0,49.0,21.0,48.0,24.0,11.0,50.0,19.0,8.0,3.0,2.0,
289,INA GRAFTON GAGE HOME,40 Bell Estate Road,"Scarborough, M1L0E2",Central East,Ina Grafton Gage Home Of Toronto,,Non-Profit,Home with approximately 128 beds,No,No,Yes,Yes,,Scarborough, M1L0E2,128,59.0,28.0,7.0,31.0,14.0,3.0,15.0,8.0,3.0,13.0,5.0,2.0
290,IOOF SENIORS HOME,10 Brooks Street,"Barrie, L4N7X2",North Simcoe Muskoka,Ioof Seniors Homes Inc.,,Non-Profit,Home with approximately 188 beds,Yes,Yes,Yes,No,,Barrie, L4N7X2,188,30.0,18.0,8.0,11.0,4.0,,10.0,8.0,5.0,10.0,7.0,3.0
291,IROQUOIS LODGE NURSING HOME,1755 Chiefswood Road P.O. Box 309,"Ohsweken, N0A1M0",Hamilton Niagara Haldimand Brant (Hnhb),Six Nations Of The Grand River,,Non-Profit,Home with approximately 50 beds,Yes,Yes,Yes,Yes,,Ohsweken, N0A1M0,50,18.0,13.0,8.0,5.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0
292,ISABEL AND ARTHUR MEIGHEN MANOR,155 Millwood Road,"Toronto, M4S1J6",Toronto Central,The Governing Council Of The Salvation Army In Canada,,Non-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Toronto, M4S1J6,168,35.0,17.0,8.0,20.0,5.0,3.0,7.0,5.0,3.0,6.0,5.0,3.0
293,IVAN FRANKO HOME (ETOBICOKE),767 Royal York Road,"Toronto, M8Y2T3",Toronto Central,Ukrainian Home For The Aged,,Non-Profit,Home with approximately 85 beds,No,Yes,Yes,Yes,,Toronto, M8Y2T3,85,11.0,7.0,5.0,1.0,,,5.0,4.0,4.0,1.0,,
294,JOHN NOBLE HOME,97 Mount Pleasant Street,"Brantford, N3T1T5",Hamilton Niagara Haldimand Brant (Hnhb),The John Noble Home,,Municipal,Home with approximately 156 beds,No,Yes,Yes,Yes,,Brantford, N3T1T5,156,25.0,9.0,4.0,7.0,3.0,2.0,10.0,3.0,2.0,2.0,2.0,1.0
295,KEMPTVILLE DISTRICT HOSPITAL,2675 Concession Road P. O. Bag 2007,"Kemptville, K0G1J0",Champlain,Kemptville District Hospital,,Non-Profit,Home with approximately 12 beds,Yes,Yes,Yes,Yes,,Kemptville, K0G1J0,12,13.0,9.0,4.0,1.0,,,,,,4.0,4.0,1.0
296,KENNEDY LODGE,1400 Kennedy Road,"Scarborough, M1P4V6",Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 289 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P4V6,289,25.0,11.0,7.0,7.0,3.0,3.0,13.0,4.0,3.0,2.0,2.0,1.0
297,KENSINGTON VILLAGE,1340 Huron Street,"London, N5V3R3",South West,Sharon Farms & Enterprises Limited,,For-Profit,Home with approximately 126 beds,Yes,Yes,Yes,Yes,,London, N5V3R3,126,70.0,26.0,4.0,40.0,12.0,,12.0,6.0,1.0,10.0,4.0,1.0
298,KENTWOOD PARK,2 Ontario Street,"Picton, K0K2T0",South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,45,27.0,13.0,6.0,8.0,3.0,2.0,12.0,6.0,3.0,2.0,1.0,1.0
299,KILEAN LODGE,83 Main Street East,"Grimsby, L3M1N6",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 50 beds,Yes,Yes,Yes,Yes,,Grimsby, L3M1N6,50,18.0,8.0,5.0,5.0,2.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0
300,KING CITY LODGE NURSING HOME,146 Fog Road,"King City, L7B1A3",Central,Poranganel Holdings Limited,,For-Profit,Home with approximately 36 beds,No,Yes,Yes,Yes,,King City, L7B1A3,36,13.0,8.0,3.0,7.0,4.0,3.0,1.0,,,1.0,1.0,
301,KING NURSING HOME,49 Sterne Street,"Bolton, L7E1B9",Central West,King Nursing Home Limited,,For-Profit,Home with approximately 86 beds,Yes,Yes,Yes,Yes,,Bolton, L7E1B9,86,55.0,22.0,12.0,13.0,4.0,2.0,15.0,6.0,4.0,23.0,9.0,5.0
302,KINGSWAY LODGE NURSING HOME,310 Queen Street East R.R. #6,"St. Marys, N4X1C8",South West,Kingsway Nursing Homes Limited,,For-Profit,Home with approximately 63 beds,Yes,Yes,Yes,No,,St. Marys, N4X1C8,63,19.0,11.0,5.0,6.0,2.0,1.0,6.0,4.0,3.0,3.0,2.0,2.0
303,KIPLING ACRES,2233 Kipling Avenue,"Etobicoke, M9W4L3",Central West,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 337 beds,Yes,Yes,Yes,Yes,,Etobicoke, M9W4L3,337,41.0,20.0,11.0,18.0,7.0,5.0,16.0,8.0,5.0,3.0,3.0,2.0
304,KNOLLCREST LODGE,50 William Street,"Milverton, N0K1M0",South West,Knollcrest Lodge,,Non-Profit,Home with approximately 78 beds,Yes,Yes,Yes,No,,Milverton, N0K1M0,78,14.0,6.0,3.0,4.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,
305,KRISTUS DARZS LATVIAN HOME,11290 Pine Valley Drive,"Woodbridge, L4L1A6",Central,Kristus Darzs Latvian Home,,Non-Profit,Home with approximately 100 beds,Yes,Yes,No,No,,Woodbridge, L4L1A6,100,18.0,13.0,6.0,4.0,4.0,1.0,7.0,5.0,4.0,5.0,4.0,4.0
306,LABDARA LITHUANIAN NURSING HOME,5 Resurrection Road,"Toronto, M9A5G1",Mississauga Halton,Labdara Foundation,Assured Care Consulting Inc.,Non-Profit,Home with approximately 90 beds,No,Yes,Yes,No,,Toronto, M9A5G1,90,19.0,7.0,4.0,6.0,,,8.0,3.0,3.0,1.0,1.0,
307,LADY DUNN HEALTH CENTRE (WAWA),17 Government Road P.O. Box 179,"Wawa, P0S1K0",North East,Lady Dunn Health Centre,,Non-Profit,Home with approximately 16 beds,Yes,Yes,Yes,Yes,,Wawa, P0S1K0,16,15.0,10.0,3.0,2.0,1.0,,5.0,3.0,1.0,7.0,6.0,1.0
309,LAKELAND LONG TERM CARE (ELDCAP),6 Albert Street,"Parry Sound, P2A3A4",North East,West Parry Sound Health Centre,,Non-Profit,Home with approximately 20 beds,No,No,No,No,,Parry Sound, P2A3A4,20,13.0,8.0,2.0,3.0,1.0,,5.0,3.0,2.0,2.0,1.0,
310,LAKELAND LONG TERM CARE SERVICES,6 Albert Street,"Parry Sound, P2A3A4",North East,Lakeland Long Term Care Services Corporation,,Non-Profit,Home with approximately 90 beds,No,Yes,No,No,,Parry Sound, P2A3A4,90,23.0,17.0,10.0,5.0,3.0,2.0,9.0,6.0,5.0,7.0,6.0,2.0
311,LAKESHORE LODGE,3197 Lakeshore Blvd. West,"Etobicoke, M8V3X5",Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 150 beds,No,Yes,Yes,Yes,,Etobicoke, M8V3X5,150,14.0,7.0,3.0,9.0,2.0,1.0,2.0,2.0,2.0,,,
312,LAKESIDE LONG TERM CARE CENTRE,150 Dunn Avenue,"Toronto, M6K2R6",Toronto Central,Toronto Rehabilitation Institute,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Toronto, M6K2R6,128,14.0,9.0,4.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,,
313,LAKEVIEW MANOR,133 Main Street P.O. Box 514,"Beaverton, L0K1A0",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 149 beds,Yes,Yes,Yes,Yes,,Beaverton, L0K1A0,149,30.0,14.0,5.0,9.0,3.0,1.0,12.0,5.0,4.0,4.0,2.0,
314,LAMBTON MEADOWVIEW VILLA,3958 Petrolia Line R. R. #4,"Petrolia, N0N1R0",Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 125 beds,No,Yes,Yes,No,,Petrolia, N0N1R0,125,33.0,20.0,8.0,10.0,7.0,2.0,17.0,9.0,4.0,3.0,3.0,
315,LANARK HEIGHTS LONG TERM CARE CENTRE,46 Lanark Crescent,"Kitchener, N2N2Z8",Waterloo Wellington,Steeves & Rozema Enterprises Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kitchener, N2N2Z8,160,82.0,20.0,7.0,34.0,8.0,3.0,33.0,8.0,4.0,10.0,3.0,
316,LANARK LODGE,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2","Perth, K7H3C6",South East,The Corporation Of The County Of Lanark,,Municipal,Home with approximately 163 beds,Yes,Yes,Yes,Yes,,Perth, K7H3C6,163,37.0,27.0,15.0,14.0,10.0,6.0,15.0,11.0,7.0,3.0,3.0,2.0
317,LANCASTER LONG TERM CARE RESIDENCE,105 Military Road North P.O. Box 429,"Lancaster, K0C1N0",Champlain,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Lancaster, K0C1N0,60,38.0,22.0,8.0,,,,22.0,12.0,8.0,5.0,4.0,
318,LANGSTAFF SQUARE CARE COMMUNITY,170 Red Maple Road,"Richmond Hill, L4B4T8",Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Richmond Hill, L4B4T8,160,19.0,14.0,6.0,13.0,8.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0
319,LAPOINTE-FISHER NURSING HOME,271 Metcalfe Street,"Guelph, N1E4Y8",Waterloo Wellington,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Guelph, N1E4Y8,92,52.0,30.0,15.0,23.0,13.0,6.0,13.0,8.0,4.0,15.0,11.0,7.0
320,LEACOCK CARE CENTRE,25 Museum Drive,"Orillia, L3V7T9",North Simcoe Muskoka,Orillia Long Term Care Centre Inc.,,For-Profit,Home with approximately 145 beds,Yes,Yes,Yes,Yes,,Orillia, L3V7T9,145,38.0,26.0,12.0,14.0,8.0,3.0,12.0,8.0,4.0,10.0,9.0,5.0
322,LEAMINGTON MENNONITE HOME LONG TERM CARE RESIDENCE,35 Pickwick Drive,"Leamington, N8H4T5",Erie St. Clair,The Leamington United Mennonite Home And Apartments,,Non-Profit,Home with approximately 84 beds,No,Yes,Yes,No,,Leamington, N8H4T5,84,20.0,13.0,6.0,6.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,
323,LEE MANOR HOME,875 Sixth Street East,"Owen Sound, N4K5W5",South West,Corporation Of The County Of Grey,,Municipal,Home with approximately 150 beds,No,Yes,Yes,No,,Owen Sound, N4K5W5,150,36.0,16.0,10.0,15.0,5.0,4.0,15.0,6.0,4.0,2.0,2.0,2.0
325,LINHAVEN,403 Ontario Street,"St. Catharines, L2N1L5",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 248 beds,Yes,Yes,Yes,Yes,,St. Catharines, L2N1L5,248,56.0,21.0,12.0,22.0,6.0,3.0,21.0,11.0,7.0,10.0,5.0,3.0
326,LONGFIELDS MANOR,330 Beatrice Drive,"Nepean, K2J5A5",Champlain,Axr Operating (National) Lp,,For-Profit,Home with approximately 114 beds,No,Yes,Yes,Yes,,Nepean, K2J5A5,114,34.0,22.0,10.0,14.0,9.0,5.0,15.0,9.0,4.0,,,
327,MACASSA LODGE,701 Upper Sherman Avenue,"Hamilton, L8V3M7",Hamilton Niagara Haldimand Brant (Hnhb),City Of Hamilton,,Municipal,Home with approximately 270 beds,No,Yes,Yes,Yes,,Hamilton, L8V3M7,270,31.0,18.0,11.0,10.0,3.0,3.0,10.0,7.0,5.0,6.0,4.0,2.0
328,MACKENZIE HEALTH LONG TERM CARE FACILITY,10 Trench Street,"Richmond Hill, L4C4Z3",Central,Mackenzie Health,Universalcare Canada Inc.,Non-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Richmond Hill, L4C4Z3,168,25.0,16.0,8.0,11.0,6.0,4.0,8.0,5.0,3.0,5.0,3.0,2.0
329,MACKENZIE PLACE,52 George Street,"Newmarket, L3Y4V3",Central,Revera Long Term Care Inc.,,For-Profit,Home with approximately 93 beds,No,Yes,Yes,Yes,,Newmarket, L3Y4V3,93,27.0,21.0,10.0,14.0,11.0,5.0,7.0,6.0,5.0,2.0,2.0,1.0
330,MADONNA CARE COMMUNITY,1541 St. Joseph Boulevard,"Orleans, K1C7L3",Champlain,The Royale Development Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Orleans, K1C7L3,160,111.0,68.0,40.0,43.0,24.0,14.0,48.0,32.0,20.0,11.0,6.0,4.0
331,MAIN STREET TERRACE,77 Main Street,"Toronto, M4E2V6",Toronto Central,Revera Long Term Care Inc.,,For-Profit,Home with approximately 150 beds,Yes,Yes,Yes,Yes,,Toronto, M4E2V6,150,49.0,25.0,9.0,26.0,10.0,5.0,12.0,10.0,4.0,6.0,2.0,
332,MAITLAND MANOR,290 South Street,"Goderich, N7A4G6",South West,Grosvenor Health Care Partnership (No. 3),Extendicare (Canada) Inc.,For-Profit,Home with approximately 91 beds,Yes,Yes,Yes,Yes,,Goderich, N7A4G6,91,35.0,21.0,10.0,12.0,6.0,3.0,16.0,9.0,5.0,7.0,5.0,4.0
334,MALTON VILLAGE LONG TERM CARE CENTRE,7075 Rexwood Road,"Mississauga, L4T4M1",Central West,The Regional Municipality Of Peel,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,,Mississauga, L4T4M1,160,62.0,21.0,14.0,29.0,6.0,5.0,18.0,7.0,5.0,6.0,4.0,2.0
335,MANITOULIN CENTENNIAL MANOR HOME FOR THE AGED,70 Robinson Street Postal Bag 460,"Little Current, P0P1K0",North East,Manitoulin Centennial Manor Home For The Aged Board Of Management,Extendicare (Canada) Inc.,Municipal,Home with approximately 60 beds,No,Yes,No,No,,Little Current, P0P1K0,60,26.0,12.0,6.0,7.0,2.0,1.0,11.0,5.0,3.0,10.0,3.0,1.0
336,MANITOULIN LODGE,3 Main Street P. O. Box 648,"Gore Bay, P0P1H0",North East,584482 Ontario Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Gore Bay, P0P1H0,61,27.0,11.0,7.0,9.0,2.0,2.0,11.0,4.0,4.0,5.0,3.0,
337,MANOIR MAROCHEL,949 Montreal Road,"Ottawa, K1K0S6",Champlain,"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Ottawa, K1K0S6,64,115.0,68.0,22.0,29.0,14.0,4.0,34.0,18.0,10.0,43.0,30.0,4.0
