name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,CSDname,CSDuid,latitude,longitude
HAWTHORNE PLACE CARE CENTRE,2045 Finch Avenue West,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M3N1M9,88.0,31.0,13.0,41.0,13.0,6.0,28.0,11.0,4.0,23.0,10.0,6.0,hawthorne place care centre,0,43,33,Active,269.0,Toronto,3520005.0,43.7562352,-79.52146844
HEARTWOOD (FKA VERSA-CARE CORNWALL),201-11th Street East,Champlain,For-Profit,No,Yes,Yes,Yes,,Cornwall, K6H2Y6,39.0,24.0,13.0,19.0,13.0,6.0,15.0,7.0,5.0,2.0,2.0,2.0,heartwood,,,,,118.0,Cornwall,3501012.0,45.03336123,-74.73229849
HEIDEHOF LONG TERM CARE HOME,600 Lake Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,No,,St. Catharines, L2N4J4,22.0,12.0,4.0,6.0,3.0,1.0,4.0,1.0,,6.0,4.0,,heidehof long term care home,,,,,106.0,St. Catharines,3526053.0,43.19665771,-79.251902
HELEN HENDERSON NURSING HOME,343 Amherst Drive,South East,For-Profit,No,Yes,Yes,Yes,,Amherstview, K7N1X3,59.0,28.0,10.0,29.0,12.0,3.0,14.0,9.0,5.0,6.0,2.0,2.0,helen henderson nursing home,,,,,104.0,Loyalist,3511005.0,44.22539531,-76.66374476
HELLENIC CARE FOR SENIORS (TORONTO),215 Tyrrel Avenue,Toronto Central,Non-Profit,No,Yes,No,Yes,,Toronto, M6G4A9,20.0,10.0,6.0,9.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,hellenic care for seniors (toronto),0,0,<5,Active,81.0,Toronto,3520005.0,43.67679399,-79.43034200000002
HELLENIC HOME - SCARBOROUGH,2411 Lawrence Avenue East,Central East,Non-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1P4X1,38.0,18.0,13.0,24.0,8.0,6.0,5.0,4.0,3.0,4.0,4.0,4.0,hellenic home - scarborough,42,14,14,Active,128.0,Toronto,3520005.0,43.74876471,-79.27408486
HENLEY PLACE,1961 Cedarhollow Blvd,South West,For-Profit,No,Yes,Yes,Yes,,London, N5X0K2,62.0,44.0,19.0,31.0,18.0,5.0,20.0,17.0,10.0,6.0,5.0,2.0,henley place,<5,0,0,Active,192.0,London,3539036.0,43.04540679,-81.21472021
HERITAGE GREEN NURSING HOME,353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Stoney Creek, L8J2J3,61.0,27.0,16.0,23.0,10.0,7.0,11.0,4.0,3.0,28.0,11.0,3.0,heritage green nursing home,,<5,,Inactive,167.0,Hamilton,3525005.0,43.19352179,-79.78959737
HERON TERRACE LONG TERM CARE COMMUNITY,11550 McNorton Street,Erie St. Clair,For-Profit,No,Yes,No,Yes,,Windsor, N8P1T9,87.0,35.0,9.0,53.0,20.0,5.0,27.0,12.0,4.0,4.0,,,heron terrace long term care community,25,23,0,Active,140.0,Windsor,3537039.0,42.31721678,-82.89932307
HIGHLAND WOOD,7199 Gelert Road P.O. Box 115,Central East,Non-Profit,No,Yes,Yes,Yes,,Haliburton, K0M1S0,15.0,10.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,highland wood,,,,,30.0,Dysart et al,3546024.0,45.03824146,-78.52941943
HILLCREST VILLAGE CARE CENTRE,255 Russell Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Midland, L4R5L6,23.0,13.0,7.0,9.0,3.0,2.0,9.0,6.0,4.0,2.0,2.0,1.0,hillcrest village care centre,,,,,164.0,Midland,3543074.0,44.75357305,-79.87963994
HILLEL LODGE,10 Nadolny Sachs Private,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K2A4G7,49.0,33.0,17.0,27.0,18.0,12.0,12.0,9.0,5.0,7.0,5.0,2.0,hillel lodge,,,,,121.0,Ottawa,3506008.0,45.37622944,-75.75281145
HILLSDALE ESTATES,590 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,,Oshawa, L1G5T9,52.0,31.0,14.0,23.0,11.0,5.0,20.0,11.0,7.0,12.0,12.0,8.0,hillsdale estates,,0,,Inactive,300.0,Oshawa,3518013.0,43.91384855,-78.86330374
HILLSDALE TERRACES,600 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,,Oshawa, L1G5T9,57.0,26.0,9.0,30.0,14.0,6.0,20.0,8.0,3.0,5.0,3.0,1.0,hillsdale terraces,,13,,Inactive,200.0,Oshawa,3518013.0,43.91500165,-78.86454214
HILLSIDE MANOR,R. R. #5,South West,For-Profit,No,Yes,Yes,Yes,,Stratford, N5A6S6,29.0,17.0,9.0,8.0,5.0,3.0,15.0,8.0,6.0,1.0,1.0,,hillside manor,,0,,Inactive,90.0,Perth East,3531030.0,43.4245342,-81.09831679999998
HILLTOP MANOR NURSING HOME (MERRICKVILLE),1005 St Lawrence Street P.O. Box 430,South East,For-Profit,No,Yes,Yes,No,,Merrickville, K0G1N0,41.0,12.0,5.0,22.0,4.0,2.0,4.0,3.0,1.0,8.0,2.0,1.0,hilltop manor nursing home (merrickville),,,,,60.0,Merrickville-Wolford,3507052.0,44.90918586,-75.83453904
HOGARTH RIVERVIEW MANOR,300 Lillie Street,North West,Non-Profit,No,Yes,Yes,Yes,,Thunder Bay, P7C4Y7,84.0,62.0,33.0,32.0,24.0,13.0,23.0,17.0,12.0,41.0,34.0,14.0,hogarth riverview manor,,0,,Inactive,543.0,Thunder Bay,3558004.0,48.38712316,-89.27025117
HOPE STREET TERRACE,20 Hope Street South,Central East,For-Profit,Yes,Yes,No,Yes,,Port Hope, L1A2M8,41.0,22.0,10.0,8.0,4.0,2.0,19.0,11.0,6.0,6.0,1.0,1.0,hope street terrace,,,,,97.0,Port Hope,3514020.0,43.95459039,-78.28837976
HORNEPAYNE COMMUNITY HOSPITAL,278 Front Street P.O. Box 190,North East,Non-Profit,No,No,No,Yes,,Hornepayne, P0M1Z0,11.0,7.0,4.0,2.0,,,,,,6.0,6.0,3.0,hornepayne community hospital,,,,,12.0,Hornepayne,3557096.0,49.212827,-84.774059
HUMBER VALLEY TERRACE,95 Humber College Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,,Rexdale, M9V5B5,34.0,16.0,3.0,17.0,4.0,1.0,8.0,5.0,1.0,8.0,7.0,2.0,humber valley terrace,59,28,24,Active,158.0,Toronto,3520005.0,43.72717599,-79.59650396
HURON LODGE LONG TERM CARE HOME,1881 Cabana Road West,Erie St. Clair,Municipal,Yes,Yes,No,Yes,,Windsor, N9G1C7,44.0,26.0,10.0,25.0,12.0,4.0,14.0,9.0,4.0,,,,huron lodge long term care home,,,,,224.0,Windsor,3537039.0,42.25323436,-83.0236891
HURONLEA HOME FOR THE AGED,820 Turnberry Street South,South West,Municipal,No,Yes,Yes,No,,Brussels, N0G1H0,26.0,15.0,6.0,5.0,5.0,2.0,12.0,4.0,3.0,4.0,2.0,1.0,huronlea home for the aged,,,,,64.0,Morris-Turnberry,3540050.0,43.73846151,-81.25635699
HURONVIEW HOME FOR THE AGED,77722A London Road R.R. #5,South West,Municipal,No,Yes,Yes,No,,Clinton, N0M1L0,39.0,18.0,7.0,14.0,7.0,1.0,18.0,8.0,6.0,4.0,1.0,,huronview home for the aged,,,,,120.0,Huron East,3540040.0,43.5981871,-81.53130859999997
HYLAND CREST,6 McPherson Street P.O. Box 30,Central East,Municipal,Yes,Yes,Yes,Yes,,Minden, K0M2K0,22.0,13.0,8.0,3.0,1.0,,11.0,7.0,7.0,7.0,4.0,2.0,hyland crest,,,,,62.0,Minden Hills,3546015.0,44.92594814,-78.72985369
IDLEWYLD MANOR,449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Hamilton, L9C2A7,58.0,19.0,11.0,26.0,5.0,3.0,19.0,5.0,4.0,14.0,10.0,6.0,idlewyld manor,,0,,Inactive,192.0,Hamilton,3525005.0,43.23618909,-79.91485732
ILER LODGE,111 Iler Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Essex, N8M1T6,108.0,49.0,21.0,48.0,24.0,11.0,50.0,19.0,8.0,3.0,2.0,,iler lodge,,,,,104.0,Essex,3537016.0,42.17030086,-82.82364113
INA GRAFTON GAGE HOME,40 Bell Estate Road,Central East,Non-Profit,No,No,Yes,Yes,,Scarborough, M1L0E2,59.0,28.0,7.0,31.0,14.0,3.0,15.0,8.0,3.0,13.0,5.0,2.0,ina grafton gage home,31,29,15,Active,128.0,Toronto,3520005.0,43.705765,-79.27714255
IOOF SENIORS HOME,10 Brooks Street,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,No,,Barrie, L4N7X2,30.0,18.0,8.0,11.0,4.0,,10.0,8.0,5.0,10.0,7.0,3.0,ioof seniors home,,0,,Inactive,182.0,Barrie,3543042.0,44.3686217,-79.68736455
IROQUOIS LODGE NURSING HOME,1755 Chiefswood Road P.O. Box 309,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,Yes,,Ohsweken, N0A1M0,18.0,13.0,8.0,5.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,iroquois lodge nursing home,,,,,50.0,Six Nations (Part) 40,3529020.0,43.07299235,-80.11640017
ISABEL AND ARTHUR MEIGHEN MANOR,155 Millwood Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M4S1J6,35.0,17.0,8.0,20.0,5.0,3.0,7.0,5.0,3.0,6.0,5.0,3.0,isabel and arthur meighen manor,6,47,31,Active,168.0,Toronto,3520005.0,43.70000099,-79.39254279
IVAN FRANKO HOME (ETOBICOKE),767 Royal York Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M8Y2T3,11.0,7.0,5.0,1.0,,,5.0,4.0,4.0,1.0,,,ivan franko home (etobicoke),0,0,<5,Active,85.0,Toronto,3520005.0,43.63771778,-79.50673762
JOHN NOBLE HOME,97 Mount Pleasant Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Brantford, N3T1T5,25.0,9.0,4.0,7.0,3.0,2.0,10.0,3.0,2.0,2.0,2.0,1.0,john noble home,,,,,156.0,Brantford,3529006.0,43.12596315,-80.27606552
KEMPTVILLE DISTRICT HOSPITAL,2675 Concession Road P. O. Bag 2007,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Kemptville, K0G1J0,13.0,9.0,4.0,1.0,,,,,,4.0,4.0,1.0,kemptville district hospital,,,,,12.0,North Grenville,3507065.0,45.0099179,-75.64134820000002
KENNEDY LODGE,1400 Kennedy Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1P4V6,25.0,11.0,7.0,7.0,3.0,3.0,13.0,4.0,3.0,2.0,2.0,1.0,kennedy lodge,<5,0,<5,Active,289.0,Toronto,3520005.0,43.76265941,-79.28056556
KENSINGTON VILLAGE,1340 Huron Street,South West,For-Profit,Yes,Yes,Yes,Yes,,London, N5V3R3,70.0,26.0,4.0,40.0,12.0,,12.0,6.0,1.0,10.0,4.0,1.0,kensington village,<5,6,<5,Active,78.0,London,3539036.0,43.02140839,-81.21450391
KENTWOOD PARK,2 Ontario Street,South East,For-Profit,No,Yes,Yes,Yes,,Picton, K0K2T0,27.0,13.0,6.0,8.0,3.0,2.0,12.0,6.0,3.0,2.0,1.0,1.0,kentwood park,,,,,45.0,Prince Edward County,3513020.0,44.00244715,-77.14847409
KILEAN LODGE,83 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Grimsby, L3M1N6,18.0,8.0,5.0,5.0,2.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0,kilean lodge,0,0,<5,Active,50.0,Grimsby,3526065.0,43.19121,-79.5554741
KING CITY LODGE NURSING HOME,146 Fog Road,Central,For-Profit,No,Yes,Yes,Yes,,King City, L7B1A3,13.0,8.0,3.0,7.0,4.0,3.0,1.0,,,1.0,1.0,,king city lodge nursing home,,,,,36.0,King,3519049.0,43.97147063,-79.55151987
KING NURSING HOME,49 Sterne Street,Central West,For-Profit,Yes,Yes,Yes,Yes,,Bolton, L7E1B9,55.0,22.0,12.0,13.0,4.0,2.0,15.0,6.0,4.0,23.0,9.0,5.0,king nursing home,,,,,86.0,Caledon,3521024.0,43.87933771,-79.74065452
KINGSWAY LODGE NURSING HOME,310 Queen Street East R.R. #6,South West,For-Profit,Yes,Yes,Yes,No,,St. Marys, N4X1C8,19.0,11.0,5.0,6.0,2.0,1.0,6.0,4.0,3.0,3.0,2.0,2.0,kingsway lodge nursing home,,,,,63.0,St. Marys,3531016.0,43.25961363,-81.1354479
KIPLING ACRES,2233 Kipling Avenue,Central West,Municipal,Yes,Yes,Yes,Yes,,Etobicoke, M9W4L3,41.0,20.0,11.0,18.0,7.0,5.0,16.0,8.0,5.0,3.0,3.0,2.0,kipling acres,30,14,11,Active,337.0,Toronto,3520005.0,43.72574509,-79.57339555
KNOLLCREST LODGE,50 William Street,South West,Non-Profit,Yes,Yes,Yes,No,,Milverton, N0K1M0,14.0,6.0,3.0,4.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,,knollcrest lodge,,,,,78.0,Perth East,3531030.0,43.5706561,-80.92082216
KRISTUS DARZS LATVIAN HOME,11290 Pine Valley Drive,Central,Non-Profit,Yes,Yes,No,No,,Woodbridge, L4L1A6,18.0,13.0,6.0,4.0,4.0,1.0,7.0,5.0,4.0,5.0,4.0,4.0,kristus darzs latvian home,19,11,15,Active,100.0,Vaughan,3519028.0,43.87156441,-79.59579547
LABDARA LITHUANIAN NURSING HOME,5 Resurrection Road,Mississauga Halton,Non-Profit,No,Yes,Yes,No,,Toronto, M9A5G1,19.0,7.0,4.0,6.0,,,8.0,3.0,3.0,1.0,1.0,,labdara lithuanian nursing home,,0,,Inactive,90.0,Toronto,3520005.0,43.64373408,-79.53092513
LADY DUNN HEALTH CENTRE (WAWA),17 Government Road P.O. Box 179,North East,Non-Profit,Yes,Yes,Yes,Yes,,Wawa, P0S1K0,15.0,10.0,3.0,2.0,1.0,,5.0,3.0,1.0,7.0,6.0,1.0,lady dunn health centre (wawa),,,,,16.0,Wawa,3557076.0,47.99979,-84.77191449
LAKELAND LONG TERM CARE (ELDCAP),6 Albert Street,North East,Non-Profit,No,No,No,No,,Parry Sound, P2A3A4,13.0,8.0,2.0,3.0,1.0,,5.0,3.0,2.0,2.0,1.0,,lakeland long term care (eldcap),,,,,20.0,Parry Sound,3549032.0,45.3407019,-80.01766090000002
LAKELAND LONG TERM CARE SERVICES,6 Albert Street,North East,Non-Profit,No,Yes,No,No,,Parry Sound, P2A3A4,23.0,17.0,10.0,5.0,3.0,2.0,9.0,6.0,5.0,7.0,6.0,2.0,lakeland long term care services,,,,,90.0,Parry Sound,3549032.0,45.340766,-80.01767199999998
LAKESHORE LODGE,3197 Lakeshore Blvd. West,Toronto Central,Municipal,No,Yes,Yes,Yes,,Etobicoke, M8V3X5,14.0,7.0,3.0,9.0,2.0,1.0,2.0,2.0,2.0,,,,lakeshore lodge,27,11,21,Active,150.0,Toronto,3520005.0,43.59721667,-79.51845532
LAKESIDE LONG TERM CARE CENTRE,150 Dunn Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,,Toronto, M6K2R6,14.0,9.0,4.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,,,lakeside long term care centre,,,,,128.0,Toronto,3520005.0,43.636584,-79.43316800000002
LAKEVIEW MANOR,133 Main Street P.O. Box 514,Central East,Municipal,Yes,Yes,Yes,Yes,,Beaverton, L0K1A0,30.0,14.0,5.0,9.0,3.0,1.0,12.0,5.0,4.0,4.0,2.0,,lakeview manor,,0,,Inactive,149.0,Brock,3518039.0,44.42747763,-79.16356588
LAMBTON MEADOWVIEW VILLA,3958 Petrolia Line R. R. #4,Erie St. Clair,Municipal,No,Yes,Yes,No,,Petrolia, N0N1R0,33.0,20.0,8.0,10.0,7.0,2.0,17.0,9.0,4.0,3.0,3.0,,lambton meadowview villa,0,0,<5,Active,125.0,Enniskillen,3538016.0,42.88448582,-82.16482359
LANARK HEIGHTS LONG TERM CARE CENTRE,46 Lanark Crescent,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Kitchener, N2N2Z8,82.0,20.0,7.0,34.0,8.0,3.0,33.0,8.0,4.0,10.0,3.0,,lanark heights long term care centre,,0,,Inactive,160.0,Kitchener,3530013.0,43.42436319,-80.53544803
LANARK LODGE,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2",South East,Municipal,Yes,Yes,Yes,Yes,,Perth, K7H3C6,37.0,27.0,15.0,14.0,10.0,6.0,15.0,11.0,7.0,3.0,3.0,2.0,lanark lodge,0,0,<5,Active,163.0,Tay Valley,3509015.0,44.90398014,-76.27207578
LANCASTER LONG TERM CARE RESIDENCE,105 Military Road North P.O. Box 429,Champlain,For-Profit,No,Yes,Yes,Yes,,Lancaster, K0C1N0,38.0,22.0,8.0,,,,22.0,12.0,8.0,5.0,4.0,,chartwell lancaster long term care residence,,,,,60.0,South Glengarry,3501005.0,45.14626646,-74.50391692
LANGSTAFF SQUARE CARE COMMUNITY,170 Red Maple Road,Central,For-Profit,No,Yes,Yes,Yes,,Richmond Hill, L4B4T8,19.0,14.0,6.0,13.0,8.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,langstaff square care community,,,,,160.0,Richmond Hill,3519038.0,43.84482422,-79.42478351
LAPOINTE-FISHER NURSING HOME,271 Metcalfe Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Guelph, N1E4Y8,52.0,30.0,15.0,23.0,13.0,6.0,13.0,8.0,4.0,15.0,11.0,7.0,lapointe-fisher nursing home,,,,,92.0,Guelph,3523008.0,43.56346913,-80.25748785
LEACOCK CARE CENTRE,25 Museum Drive,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,,Orillia, L3V7T9,38.0,26.0,12.0,14.0,8.0,3.0,12.0,8.0,4.0,10.0,9.0,5.0,leacock care centre,,,,,145.0,Orillia,3543052.0,44.60660015,-79.39492597
LEAMINGTON MENNONITE HOME LONG TERM CARE RESIDENCE,35 Pickwick Drive,Erie St. Clair,Non-Profit,No,Yes,Yes,No,,Leamington, N8H4T5,20.0,13.0,6.0,6.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,,leamington mennonite home long term care residence,,0,,Inactive,84.0,Leamington,3537003.0,42.04374165,-82.59059485
LEE MANOR HOME,875 Sixth Street East,South West,Municipal,No,Yes,Yes,No,,Owen Sound, N4K5W5,36.0,16.0,10.0,15.0,5.0,4.0,15.0,6.0,4.0,2.0,2.0,2.0,lee manor home,,,,,150.0,Owen Sound,3542059.0,44.56074357,-80.92749966
LINHAVEN,403 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,,St. Catharines, L2N1L5,56.0,21.0,12.0,22.0,6.0,3.0,21.0,11.0,7.0,10.0,5.0,3.0,linhaven,,,,,248.0,St. Catharines,3526053.0,43.18351721,-79.26633031
LONGFIELDS MANOR,330 Beatrice Drive,Champlain,For-Profit,No,Yes,Yes,Yes,,Nepean, K2J5A5,34.0,22.0,10.0,14.0,9.0,5.0,15.0,9.0,4.0,,,,longfields manor,,,,,114.0,Ottawa,3506008.0,45.28026603,-75.72981554
MACASSA LODGE,701 Upper Sherman Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Hamilton, L8V3M7,31.0,18.0,11.0,10.0,3.0,3.0,10.0,7.0,5.0,6.0,4.0,2.0,macassa lodge,0,0,<5,Active,270.0,Hamilton,3525005.0,43.22567639,-79.84867319
MACKENZIE HEALTH LONG TERM CARE FACILITY,10 Trench Street,Central,Non-Profit,No,Yes,Yes,Yes,,Richmond Hill, L4C4Z3,25.0,16.0,8.0,11.0,6.0,4.0,8.0,5.0,3.0,5.0,3.0,2.0,mackenzie health long term care facility,0,0,<5,Active,168.0,Richmond Hill,3519038.0,43.87045412,-79.45081182
MACKENZIE PLACE,52 George Street,Central,For-Profit,No,Yes,Yes,Yes,,Newmarket, L3Y4V3,27.0,21.0,10.0,14.0,11.0,5.0,7.0,6.0,5.0,2.0,2.0,1.0,mackenzie place,,15,,Inactive,93.0,Newmarket,3519048.0,44.05748695,-79.47891695
MADONNA CARE COMMUNITY,1541 St. Joseph Boulevard,Champlain,For-Profit,No,Yes,Yes,Yes,,Orleans, K1C7L3,111.0,68.0,40.0,43.0,24.0,14.0,48.0,32.0,20.0,11.0,6.0,4.0,madonna care community,15,43,27,Active,160.0,Ottawa,3506008.0,45.46043427,-75.559988
MAIN STREET TERRACE,77 Main Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M4E2V6,49.0,25.0,9.0,26.0,10.0,5.0,12.0,10.0,4.0,6.0,2.0,,main street terrace,<5,0,0,Active,150.0,Toronto,3520005.0,43.68160949,-79.29859826
MAITLAND MANOR,290 South Street,South West,For-Profit,Yes,Yes,Yes,Yes,,Goderich, N7A4G6,35.0,21.0,10.0,12.0,6.0,3.0,16.0,9.0,5.0,7.0,5.0,4.0,maitland manor,<5,0,0,Active,91.0,Goderich,3540028.0,43.73314149,-81.71190013
MALTON VILLAGE LONG TERM CARE CENTRE,7075 Rexwood Road,Central West,Municipal,No,Yes,Yes,Yes,,Mississauga, L4T4M1,62.0,21.0,14.0,29.0,6.0,5.0,18.0,7.0,5.0,6.0,4.0,2.0,malton village long term care centre,<5,0,<5,Active,160.0,Mississauga,3521005.0,43.71847959,-79.62437147
MANITOULIN CENTENNIAL MANOR HOME FOR THE AGED,70 Robinson Street Postal Bag 460,North East,Municipal,No,Yes,No,No,,Little Current, P0P1K0,26.0,12.0,6.0,7.0,2.0,1.0,11.0,5.0,3.0,10.0,3.0,1.0,manitoulin centennial manor home for the aged,,,,,60.0,Northeastern Manitoulin and the Islands,3551017.0,45.98389625,-81.93648973
MANITOULIN LODGE,3 Main Street P. O. Box 648,North East,For-Profit,Yes,Yes,Yes,Yes,,Gore Bay, P0P1H0,27.0,11.0,7.0,9.0,2.0,2.0,11.0,4.0,4.0,5.0,3.0,,manitoulin lodge,0,0,<5,Active,62.0,Gore Bay,3551026.0,45.91388961,-82.46562059
MANOIR MAROCHEL,949 Montreal Road,Champlain,For-Profit,No,Yes,Yes,No,,Ottawa, K1K0S6,115.0,68.0,22.0,29.0,14.0,4.0,34.0,18.0,10.0,43.0,30.0,4.0,manoir marochel,28,7,13,Active,64.0,Ottawa,3506008.0,45.44785486,-75.62821042
MAPLE GROVE CARE COMMUNITY,215 Sunny Meadow Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6R3B5,37.0,22.0,13.0,17.0,10.0,6.0,11.0,4.0,3.0,10.0,10.0,6.0,maple grove care community,<5,0,<5,Active,160.0,Brampton,3521010.0,43.75771219,-79.75483001
MAPLE MANOR NURSING HOME,73 Bidwell Street,South West,For-Profit,No,Yes,Yes,Yes,,Tillsonburg, N4G3T8,28.0,15.0,7.0,7.0,2.0,,11.0,5.0,4.0,7.0,7.0,5.0,maple manor nursing home,,,,,106.0,Tillsonburg,3532004.0,42.86006238,-80.72991974
MAPLE PARK LODGE,6 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Fort Erie, L2A5M5,26.0,15.0,5.0,9.0,4.0,2.0,11.0,7.0,3.0,4.0,2.0,,maple park lodge,,,,,96.0,Fort Erie,3526003.0,42.91045417,-78.92271967
MAPLE VIEW,1029-4Th Avenue West,South West,For-Profit,No,Yes,Yes,Yes,,Owen Sound, N4K4W1,19.0,9.0,3.0,3.0,1.0,,9.0,3.0,2.0,4.0,2.0,,maple view,,0,,Inactive,29.0,Owen Sound,3542059.0,44.56743597,-80.94905687
MAPLE VIEW LODGE,"746 County Road, 42 East P.O. Box 100",South East,Municipal,No,Yes,Yes,No,,Athens, K0E1B0,33.0,14.0,4.0,7.0,3.0,1.0,15.0,4.0,1.0,5.0,3.0,1.0,maple view lodge,,0,,Inactive,60.0,Athens,3507042.0,44.63454631,-75.93144305
MAPLE VILLA LONG TERM CARE CENTRE,441 Maple Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7S1L8,18.0,11.0,5.0,8.0,6.0,3.0,4.0,2.0,2.0,4.0,1.0,,maple villa long term care centre,,,,,93.0,Burlington,3524002.0,43.31995171,-79.80289539
MAPLEWOOD,12 Maplewood Avenue Box 249,South East,For-Profit,No,Yes,Yes,Yes,,Brighton, K0K1H0,25.0,19.0,10.0,3.0,2.0,2.0,14.0,11.0,6.0,6.0,5.0,3.0,maplewood,,0,,Inactive,49.0,Brighton,3514004.0,44.0396526,-77.74441359999999
MARIANHILL NURSING HOME,600 Cecelia Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Pembroke, K8A7Z3,32.0,22.0,12.0,12.0,8.0,6.0,15.0,10.0,6.0,,,,marianhill nursing home,,,,,139.0,Pembroke,3547064.0,45.81487556,-77.10391504
MARIANN HOME,9915 Yonge Street,Central,Non-Profit,No,Yes,Yes,Yes,,Richmond Hill, L4C1V1,13.0,6.0,3.0,2.0,1.0,,4.0,2.0,2.0,4.0,2.0,,mariann home,,,,,64.0,Richmond Hill,3519038.0,43.86921402,-79.43615722
MARKHAVEN,54 Parkway Avenue,Central,Non-Profit,No,No,Yes,No,,Markham, L3P2G4,27.0,15.0,10.0,9.0,2.0,2.0,8.0,5.0,4.0,6.0,5.0,4.0,markhaven,,17,,Inactive,96.0,Markham,3519036.0,43.88371943,-79.25422906
MARSHALL GOWLAND MANOR,749 Devine Street,Erie St. Clair,Municipal,No,Yes,Yes,No,,Sarnia, N7T1X3,62.0,31.0,13.0,28.0,14.0,5.0,24.0,13.0,7.0,3.0,2.0,2.0,marshall gowland manor,<5,0,0,Active,126.0,Sarnia,3538030.0,42.96399632,-82.38446927
MAUNO KAIHLA KOTI,723 North Street,North East,Non-Profit,Yes,Yes,Yes,No,,Sault Ste Marie, P6B6G8,20.0,12.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,,mauno kaihla koti,,,,,63.0,Sault Ste. Marie,3557061.0,46.5396691,-84.33693736
MAXVILLE MANOR,80 Mechanic Street West,Champlain,Non-Profit,Yes,Yes,Yes,No,,Maxville, K0C1T0,32.0,10.0,3.0,12.0,3.0,2.0,10.0,3.0,,7.0,1.0,1.0,maxville manor,<5,0,0,Active,122.0,North Glengarry,3501050.0,45.28415857,-74.86345425
MAYNARD NURSING HOME,28 Halton Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M6J1R3,21.0,11.0,4.0,8.0,1.0,,4.0,2.0,2.0,8.0,6.0,2.0,maynard nursing home,0,0,0,Active,77.0,Toronto,3520005.0,43.64880888,-79.4191815
MCCALL CENTRE LONG TERM CARE INTERIM UNIT,140 SHERWAY DRIVE,Mississauga Halton,Non-Profit,No,Yes,No,Yes,,ETOBICOKE, M9C1A4,11.0,8.0,4.0,1.0,,,,,,2.0,2.0,2.0,mccall centre long term care interim unit,,0,,Inactive,21.0,Toronto,3520005.0,43.61006437,-79.56210244
